,name,type,sign,linking_set,set_name,DH
0,Sinohara_1_ALL_PH,H-P,MA,Plant,Plant,6.459824680775481
1,Sinohara_1_ALL_PH,H-P,MA,Plant,Pollinator,11.945603171582949
2,Sinohara_1_ALL_PH,H-P,MA,Plant,Herbivore,3.295926508728203
3,Sinohara_2_ALL_PH,H-P,MA,Plant,Plant,6.8344423287998906
4,Sinohara_2_ALL_PH,H-P,MA,Plant,Herbivore,3.5221279207956937
5,Sinohara_2_ALL_PH,H-P,MA,Plant,Pollinator,10.814942502663433
6,Sinohara_3_ALL_PH,H-P,MA,Plant,Plant,10.226854068145247
7,Sinohara_3_ALL_PH,H-P,MA,Plant,Herbivore,6.6736870316291945
8,Sinohara_3_ALL_PH,H-P,MA,Plant,Pollinator,15.019412610081883
9,Sinohara_4_ALL_PH,H-P,MA,Plant,Plant,9.904536108247342
10,Sinohara_4_ALL_PH,H-P,MA,Plant,Herbivore,2.459043436756547
11,Sinohara_4_ALL_PH,H-P,MA,Plant,Pollinator,6.922527702727121
12,Sinohara_ALL_A_PH,H-P,MA,Plant,Plant,10.187662660596947
13,Sinohara_ALL_A_PH,H-P,MA,Plant,Herbivore,6.315466630004771
14,Sinohara_ALL_A_PH,H-P,MA,Plant,Pollinator,5.109348040118326
15,Sinohara_ALL_E_PH,H-P,MA,Plant,Herbivore,6.474489008758135
16,Sinohara_ALL_E_PH,H-P,MA,Plant,Plant,12.80022062920736
17,Sinohara_ALL_E_PH,H-P,MA,Plant,Pollinator,15.351998325503013
18,Sinohara_ALL_I_PH,H-P,MA,Plant,Plant,11.36291575647404
19,Sinohara_ALL_I_PH,H-P,MA,Plant,Herbivore,1.975069380384404
20,Sinohara_ALL_I_PH,H-P,MA,Plant,Pollinator,10.670826092291643
21,Sinohara_2_E_PH,H-P,MA,Plant,Pollinator,5.864919598031176
22,Sinohara_2_E_PH,H-P,MA,Plant,Herbivore,1.6873730437100778
23,Sinohara_2_E_PH,H-P,MA,Plant,Plant,5.508404844110113
24,Sinohara_3_E_PH,H-P,MA,Plant,Pollinator,10.060771769685408
25,Sinohara_3_E_PH,H-P,MA,Plant,Plant,10.618464482112936
26,Sinohara_3_E_PH,H-P,MA,Plant,Herbivore,2.113774845576164
27,Sinohara_4_I_PH,H-P,MA,Plant,Plant,2.3488938334228875
28,Sinohara_4_I_PH,H-P,MA,Plant,Herbivore,-1.4156103134155273e-07
29,Sinohara_4_I_PH,H-P,MA,Plant,Pollinator,3.3824460534626666
30,Melian_OO_OO_PH,H-P,MA,Plant,Pollinator,22.197782085061576
31,Melian_OO_OO_PH,H-P,MA,Plant,Plant,46.6071541364019
32,Melian_OO_OO_PH,H-P,MA,Plant,Herbivore,21.438010936395578
33,Hackett_1_ALL_PH,H-P,MA,Plant,Pollinator,27.064565213970653
34,Hackett_1_ALL_PH,H-P,MA,Plant,Herbivore,2.1818822232724866
35,Hackett_1_ALL_PH,H-P,MA,Plant,Plant,50.03315410042078
36,Hackett_2_ALL_PH,H-P,MA,Plant,Pollinator,9.336544125045062
37,Hackett_2_ALL_PH,H-P,MA,Plant,Herbivore,1.3518934170486958
38,Hackett_2_ALL_PH,H-P,MA,Plant,Plant,6.375864267222038
39,Hackett_1_S_PH,H-P,MA,Plant,Plant,8.103953606651531
40,Hackett_1_S_PH,H-P,MA,Plant,Herbivore,-0.17586311452834413
41,Hackett_1_S_PH,H-P,MA,Plant,Pollinator,5.014960611829782
42,Hackett_1_GL_PH,H-P,MA,Plant,Plant,15.30054672655157
43,Hackett_1_GL_PH,H-P,MA,Plant,Pollinator,7.501267948647791
44,Hackett_1_GL_PH,H-P,MA,Plant,Herbivore,
45,Pocock_OO_OO_PH,H-P,MA,Plant,Pollinator,29.392872209884313
46,Pocock_OO_OO_PH,H-P,MA,Plant,Herbivore,50.913282944441484
47,Pocock_OO_OO_PH,H-P,MA,Plant,Plant,36.91836107068041
48,Melian_OO_OO_HSD,H-SD,MA,Plant,Plant,20.006314236362517
49,Melian_OO_OO_HSD,H-SD,MA,Plant,Seed disperser,15.469028755013559
50,Melian_OO_OO_HSD,H-SD,MA,Plant,Herbivore,21.977569987942363
51,McFayden_ALL_A_HPa,H-Pa,AA,Host,Host,34.440590642624066
52,McFayden_ALL_A_HPa,H-Pa,AA,Host,Parasitoid,16.531399854714316
53,McFayden_ALL_A_HPa,H-Pa,AA,Host,Plant,52.58930067743573
54,McFayden_1_A_HPa,H-Pa,AA,Host,Host,13.441815093611426
55,McFayden_1_A_HPa,H-Pa,AA,Host,Parasitoid,3.216230430113014
56,McFayden_1_A_HPa,H-Pa,AA,Host,Plant,18.1770725615234
57,McFayden_2_A_HPa,H-Pa,AA,Host,Host,13.318556984175002
58,McFayden_2_A_HPa,H-Pa,AA,Host,Parasitoid,0.9717690539037304
59,McFayden_2_A_HPa,H-Pa,AA,Host,Plant,17.739096604039183
60,McFayden_3_A_HPa,H-Pa,AA,Host,Host,9.369906212658277
61,McFayden_3_A_HPa,H-Pa,AA,Host,Parasitoid,3.682077569729398
62,McFayden_3_A_HPa,H-Pa,AA,Host,Plant,16.175360340263023
63,McFayden_4_A_HPa,H-Pa,AA,Host,Parasitoid,4.660331638363807
64,McFayden_4_A_HPa,H-Pa,AA,Host,Plant,11.048852896850768
65,McFayden_4_A_HPa,H-Pa,AA,Host,Host,10.01280164581498
66,McFayden_5_A_HPa,H-Pa,AA,Host,Host,13.806363819153178
67,McFayden_5_A_HPa,H-Pa,AA,Host,Plant,12.39967997852732
68,McFayden_5_A_HPa,H-Pa,AA,Host,Parasitoid,3.0624407905051543
