,name,type,sign,linking_set,set_name,DH
0,Sinohara_1_ALL_PH,H-P,MA,Plant,Plant,0.9512066732713488
1,Sinohara_1_ALL_PH,H-P,MA,Plant,Pollinator,1.2300229875592104
2,Sinohara_1_ALL_PH,H-P,MA,Plant,Herbivore,0.6569357851802108
3,Sinohara_2_ALL_PH,H-P,MA,Plant,Plant,0.9723903504040179
4,Sinohara_2_ALL_PH,H-P,MA,Plant,Herbivore,0.6801120190120611
5,Sinohara_2_ALL_PH,H-P,MA,Plant,Pollinator,1.0782102428358045
6,Sinohara_3_ALL_PH,H-P,MA,Plant,Plant,1.1484469183628168
7,Sinohara_3_ALL_PH,H-P,MA,Plant,Herbivore,0.8267315334256791
8,Sinohara_3_ALL_PH,H-P,MA,Plant,Pollinator,1.2798734983876334
9,Sinohara_4_ALL_PH,H-P,MA,Plant,Plant,1.2030832279815844
10,Sinohara_4_ALL_PH,H-P,MA,Plant,Herbivore,0.5231167394061053
11,Sinohara_4_ALL_PH,H-P,MA,Plant,Pollinator,0.9504982576794372
12,Sinohara_ALL_A_PH,H-P,MA,Plant,Plant,1.2268644441257517
13,Sinohara_ALL_A_PH,H-P,MA,Plant,Herbivore,0.7570419407139872
14,Sinohara_ALL_A_PH,H-P,MA,Plant,Pollinator,0.8038072099212692
15,Sinohara_ALL_E_PH,H-P,MA,Plant,Herbivore,0.8314365178833671
16,Sinohara_ALL_E_PH,H-P,MA,Plant,Plant,1.1887683345285867
17,Sinohara_ALL_E_PH,H-P,MA,Plant,Pollinator,1.2380585397834936
18,Sinohara_ALL_I_PH,H-P,MA,Plant,Plant,1.2013928579674689
19,Sinohara_ALL_I_PH,H-P,MA,Plant,Herbivore,0.5132605271200257
20,Sinohara_ALL_I_PH,H-P,MA,Plant,Pollinator,1.0746674280891482
21,Sinohara_2_E_PH,H-P,MA,Plant,Pollinator,0.87668819361797
22,Sinohara_2_E_PH,H-P,MA,Plant,Herbivore,0.5144957554275266
23,Sinohara_2_E_PH,H-P,MA,Plant,Plant,0.9778696008307837
24,Sinohara_3_E_PH,H-P,MA,Plant,Pollinator,1.1170454275001178
25,Sinohara_3_E_PH,H-P,MA,Plant,Plant,1.3511107627917096
26,Sinohara_3_E_PH,H-P,MA,Plant,Herbivore,0.6381534447172756
27,Sinohara_4_I_PH,H-P,MA,Plant,Plant,0.7722052968014161
28,Sinohara_4_I_PH,H-P,MA,Plant,Herbivore,0.21794494717703367
29,Sinohara_4_I_PH,H-P,MA,Plant,Pollinator,0.806225774829855
30,Melian_OO_OO_PH,H-P,MA,Plant,Pollinator,1.0439416603161005
31,Melian_OO_OO_PH,H-P,MA,Plant,Plant,2.0828982617364415
32,Melian_OO_OO_PH,H-P,MA,Plant,Herbivore,1.1465925002305084
33,Hackett_1_ALL_PH,H-P,MA,Plant,Pollinator,1.1115248163419071
