,Teucrium_scorodonia,Phragmites_australis,Lonicera_periclymenum,Rubus_fruticosus,Lotus_pedunculatus,Senecio_jacobaea,Atriplex_patula,Ilex_aquifolium,Plantago_lanceolata,Grass_12,Quercus_robur,Aster_tripolium,Betula_pendula,Hypochaeris_radicata,Sorbus_aucuparia,N_all,N_leaf_miner_parasitoid,Area_leaf_miner_parasitoid,N_Plant,Area_Plant,N_leaf_miner,Area_leaf_miner,N_passive,N_active,Area_merged,N_active_parasitism,N_passive_parasitism,Area_parasitism,Area_only_parasitism,N_active_herbivory,N_passive_herbivory,Area_herbivory,Area_only_herbivory
0,9,7,0,5,13,6,1,10,2,8,14,4,3,11,12,71.0,17,0.6941176470588235,15,0.5333333333333333,39,0.5948717948717948,56.0,15,0.625,0,31,0.3806451612903226,0.0,15,39,0.5948717948717948,0.5948717948717948
1,10,8,9,4,7,3,12,5,11,13,6,2,14,1,0,71.0,17,0.4823529411764706,15,0.5333333333333333,39,0.5367521367521367,56.0,15,0.5202380952380953,0,31,0.2645161290322581,0.0,15,39,0.5367521367521367,0.5367521367521367
2,12,4,6,3,2,14,5,1,10,0,11,7,8,9,13,71.0,17,0.611764705882353,15,0.5333333333333333,39,0.5726495726495727,56.0,15,0.5845238095238094,0,31,0.33548387096774196,0.0,15,39,0.5726495726495727,0.5726495726495727
3,8,1,14,5,2,10,12,3,6,4,9,0,13,11,7,71.0,17,0.44313725490196076,15,0.5333333333333333,39,0.4837606837606837,56.0,15,0.4714285714285715,0,31,0.24301075268817207,0.0,15,39,0.4837606837606837,0.4837606837606837
4,8,14,10,5,12,2,6,1,0,3,4,13,9,11,7,71.0,17,0.3411764705882353,15,0.5333333333333333,39,0.5128205128205129,56.0,15,0.46071428571428574,0,31,0.1870967741935484,0.0,15,39,0.5128205128205129,0.5128205128205129
5,7,13,4,1,14,8,0,9,6,11,3,2,12,10,5,71.0,17,0.5607843137254902,15,0.5333333333333333,39,0.6119658119658119,56.0,15,0.5964285714285714,0,31,0.30752688172043013,0.0,15,39,0.6119658119658119,0.6119658119658119
6,9,11,1,14,0,10,13,2,7,5,12,6,4,3,8,71.0,17,0.6274509803921569,15,0.5333333333333333,39,0.5008547008547009,56.0,15,0.5392857142857143,0,31,0.3440860215053763,0.0,15,39,0.5008547008547009,0.5008547008547009
7,10,6,13,9,8,14,1,2,7,12,3,4,0,11,5,71.0,17,0.3686274509803921,15,0.5333333333333333,39,0.4854700854700854,56.0,15,0.44999999999999996,0,31,0.20215053763440863,0.0,15,39,0.4854700854700854,0.4854700854700854
8,8,7,12,13,14,4,3,5,6,11,9,10,0,2,1,71.0,17,0.34117647058823525,15,0.5333333333333333,39,0.43931623931623925,56.0,15,0.4095238095238095,0,31,0.1870967741935484,0.0,15,39,0.43931623931623925,0.43931623931623925
9,2,5,11,0,13,4,6,12,7,1,8,14,3,10,9,71.0,17,0.3686274509803921,15,0.5333333333333333,39,0.5880341880341879,56.0,15,0.5214285714285715,0,31,0.2021505376344086,0.0,15,39,0.5880341880341879,0.5880341880341879
10,12,8,11,5,4,13,9,0,14,10,7,6,3,2,1,71.0,17,0.43137254901960775,15,0.5333333333333333,39,0.5504273504273505,56.0,15,0.5142857142857142,0,31,0.23655913978494625,0.0,15,39,0.5504273504273505,0.5504273504273505
11,12,9,11,8,1,6,4,14,5,7,3,10,0,2,13,71.0,17,0.30588235294117644,15,0.5333333333333333,39,0.47863247863247865,56.0,15,0.4261904761904762,0,31,0.16774193548387095,0.0,15,39,0.47863247863247865,0.47863247863247865
12,13,0,3,6,7,2,4,10,12,9,5,8,1,11,14,71.0,17,0.6666666666666667,15,0.5333333333333333,39,0.5811965811965812,56.0,15,0.6071428571428572,0,31,0.36559139784946243,0.0,15,39,0.5811965811965812,0.5811965811965812
13,3,10,9,6,7,0,13,12,1,8,14,11,4,5,2,71.0,17,0.37254901960784315,15,0.5333333333333333,39,0.5213675213675214,56.0,15,0.47619047619047616,0,31,0.2043010752688172,0.0,15,39,0.5213675213675214,0.5213675213675214
14,0,10,3,12,14,2,13,5,8,4,7,9,1,6,11,71.0,17,0.5568627450980391,15,0.5333333333333333,39,0.5162393162393162,56.0,15,0.5285714285714286,0,31,0.3053763440860215,0.0,15,39,0.5162393162393162,0.5162393162393162
15,10,7,12,6,0,1,14,13,3,9,8,2,11,5,4,71.0,17,0.3803921568627451,15,0.5333333333333333,39,0.4888888888888889,56.0,15,0.45595238095238094,0,31,0.20860215053763442,0.0,15,39,0.4888888888888889,0.4888888888888889
16,5,11,9,12,7,8,1,14,2,0,4,10,13,6,3,71.0,17,0.3803921568627451,15,0.5333333333333333,39,0.4598290598290598,56.0,15,0.43571428571428567,0,31,0.20860215053763442,0.0,15,39,0.4598290598290598,0.4598290598290598
17,3,8,2,14,0,7,1,12,10,9,11,13,5,6,4,71.0,17,0.5411764705882353,15,0.5333333333333333,39,0.4905982905982905,56.0,15,0.5059523809523809,0,31,0.29677419354838713,0.0,15,39,0.4905982905982905,0.4905982905982905
18,14,10,6,12,11,2,8,5,0,7,1,4,13,3,9,71.0,17,0.5058823529411764,15,0.5333333333333333,39,0.452991452991453,56.0,15,0.46904761904761905,0,31,0.27741935483870966,0.0,15,39,0.452991452991453,0.452991452991453
19,2,4,3,0,11,5,6,7,14,1,10,12,8,13,9,71.0,17,0.6588235294117647,15,0.5333333333333333,39,0.6512820512820512,56.0,15,0.6535714285714285,0,31,0.36129032258064514,0.0,15,39,0.6512820512820512,0.6512820512820512
20,7,0,8,14,12,13,10,2,6,9,3,1,11,4,5,71.0,17,0.6,15,0.5333333333333333,39,0.45128205128205123,56.0,15,0.49642857142857133,0,31,0.32903225806451614,0.0,15,39,0.45128205128205123,0.45128205128205123
21,13,10,2,1,11,5,0,3,7,4,6,14,9,12,8,71.0,17,0.615686274509804,15,0.5333333333333333,39,0.6358974358974359,56.0,15,0.6297619047619047,0,31,0.3376344086021505,0.0,15,39,0.6358974358974359,0.6358974358974359
22,9,5,3,14,4,7,10,8,13,1,2,11,6,0,12,71.0,17,0.5803921568627451,15,0.5333333333333333,39,0.4957264957264957,56.0,15,0.5214285714285714,0,31,0.31827956989247314,0.0,15,39,0.4957264957264957,0.4957264957264957
23,1,8,11,3,13,12,4,14,5,0,6,10,2,9,7,71.0,17,0.3764705882352941,15,0.5333333333333333,39,0.5777777777777778,56.0,15,0.5166666666666667,0,31,0.20645161290322583,0.0,15,39,0.5777777777777778,0.5777777777777778
24,9,1,6,3,8,13,12,2,4,5,10,14,0,11,7,71.0,17,0.596078431372549,15,0.5333333333333333,39,0.6102564102564102,56.0,15,0.605952380952381,0,31,0.3268817204301075,0.0,15,39,0.6102564102564102,0.6102564102564102
25,3,14,12,1,9,0,2,6,8,4,10,11,5,7,13,71.0,17,0.24313725490196075,15,0.5333333333333333,39,0.5111111111111112,56.0,15,0.42976190476190473,0,31,0.13333333333333333,0.0,15,39,0.5111111111111112,0.5111111111111112
26,5,0,11,12,13,6,3,7,1,9,10,4,2,14,8,71.0,17,0.4784313725490196,15,0.5333333333333333,39,0.4444444444444444,56.0,15,0.4547619047619047,0,31,0.2623655913978495,0.0,15,39,0.4444444444444444,0.4444444444444444
27,4,8,11,0,10,13,5,6,9,2,1,12,14,7,3,71.0,17,0.3686274509803921,15,0.5333333333333333,39,0.5777777777777778,56.0,15,0.5142857142857142,0,31,0.2021505376344086,0.0,15,39,0.5777777777777778,0.5777777777777778
28,12,3,4,6,9,2,14,13,10,1,0,7,5,8,11,71.0,17,0.6549019607843137,15,0.5333333333333333,39,0.6051282051282051,56.0,15,0.6202380952380953,0,31,0.35913978494623655,0.0,15,39,0.6051282051282051,0.6051282051282051
29,7,12,0,13,5,14,3,10,9,4,11,8,6,1,2,71.0,17,0.6313725490196078,15,0.5333333333333333,39,0.5487179487179487,56.0,15,0.5738095238095239,0,31,0.3462365591397849,0.0,15,39,0.5487179487179487,0.5487179487179487
30,4,5,11,6,7,1,3,9,8,0,2,13,10,12,14,71.0,17,0.36470588235294116,15,0.5333333333333333,39,0.4786324786324786,56.0,15,0.4440476190476191,0,31,0.2,0.0,15,39,0.4786324786324786,0.4786324786324786
31,4,10,6,5,3,0,14,8,9,11,13,1,2,12,7,71.0,17,0.5333333333333333,15,0.5333333333333333,39,0.5555555555555556,56.0,15,0.5488095238095239,0,31,0.2924731182795699,0.0,15,39,0.5555555555555556,0.5555555555555556
32,10,12,3,13,5,2,11,8,4,7,6,1,14,9,0,71.0,17,0.6039215686274509,15,0.5333333333333333,39,0.5059829059829061,56.0,15,0.5357142857142857,0,31,0.3311827956989248,0.0,15,39,0.5059829059829061,0.5059829059829061
33,13,1,3,6,14,2,10,4,7,8,0,11,5,12,9,71.0,17,0.6823529411764706,15,0.5333333333333333,39,0.5982905982905984,56.0,15,0.6238095238095238,0,31,0.3741935483870968,0.0,15,39,0.5982905982905984,0.5982905982905984
34,12,7,9,6,14,2,4,8,13,0,3,11,1,5,10,71.0,17,0.45490196078431366,15,0.5333333333333333,39,0.5606837606837607,56.0,15,0.5285714285714286,0,31,0.24946236559139784,0.0,15,39,0.5606837606837607,0.5606837606837607
35,7,2,1,14,3,6,12,10,5,13,9,8,4,0,11,71.0,17,0.6431372549019607,15,0.5333333333333333,39,0.4803418803418803,56.0,15,0.5297619047619048,0,31,0.3526881720430108,0.0,15,39,0.4803418803418803,0.4803418803418803
36,4,5,13,2,12,3,7,14,0,6,8,11,1,9,10,71.0,17,0.2980392156862745,15,0.5333333333333333,39,0.5333333333333333,56.0,15,0.4619047619047619,0,31,0.16344086021505377,0.0,15,39,0.5333333333333333,0.5333333333333333
37,0,8,9,12,14,7,2,11,3,5,10,4,6,1,13,71.0,17,0.41960784313725485,15,0.5333333333333333,39,0.4256410256410256,56.0,15,0.42380952380952375,0,31,0.23010752688172043,0.0,15,39,0.4256410256410256,0.4256410256410256
38,13,6,4,11,2,12,5,14,7,1,10,9,8,3,0,71.0,17,0.6039215686274509,15,0.5333333333333333,39,0.5572649572649573,56.0,15,0.5714285714285714,0,31,0.3311827956989248,0.0,15,39,0.5572649572649573,0.5572649572649573
39,9,12,13,8,14,4,6,0,5,2,11,3,10,7,1,71.0,17,0.3725490196078431,15,0.5333333333333333,39,0.48205128205128206,56.0,15,0.44880952380952377,0,31,0.20430107526881724,0.0,15,39,0.48205128205128206,0.48205128205128206
40,0,14,1,11,12,9,2,4,3,5,7,6,10,8,13,71.0,17,0.5882352941176471,15,0.5333333333333333,39,0.49743589743589745,56.0,15,0.5249999999999999,0,31,0.3225806451612903,0.0,15,39,0.49743589743589745,0.49743589743589745
41,2,10,0,12,7,11,5,14,8,1,4,3,9,13,6,71.0,17,0.6823529411764706,15,0.5333333333333333,39,0.5675213675213675,56.0,15,0.6023809523809524,0,31,0.3741935483870968,0.0,15,39,0.5675213675213675,0.5675213675213675
42,4,10,13,12,3,6,5,2,1,8,0,7,9,14,11,71.0,17,0.2901960784313725,15,0.5333333333333333,39,0.3846153846153846,56.0,15,0.35595238095238096,0,31,0.15913978494623657,0.0,15,39,0.3846153846153846,0.3846153846153846
43,4,13,6,0,11,7,3,5,12,10,1,2,8,9,14,71.0,17,0.4901960784313725,15,0.5333333333333333,39,0.5846153846153846,56.0,15,0.555952380952381,0,31,0.26881720430107525,0.0,15,39,0.5846153846153846,0.5846153846153846
44,3,13,0,1,8,14,11,12,6,10,7,5,2,9,4,71.0,17,0.6627450980392157,15,0.5333333333333333,39,0.6923076923076923,56.0,15,0.6833333333333333,0,31,0.36344086021505373,0.0,15,39,0.6923076923076923,0.6923076923076923
45,11,0,4,8,1,13,2,12,9,6,7,3,5,10,14,71.0,17,0.6784313725490196,15,0.5333333333333333,39,0.5452991452991454,56.0,15,0.5857142857142857,0,31,0.3720430107526882,0.0,15,39,0.5452991452991454,0.5452991452991454
46,13,9,5,1,4,7,12,14,6,0,3,2,10,8,11,71.0,17,0.5843137254901961,15,0.5333333333333333,39,0.6256410256410256,56.0,15,0.6130952380952381,0,31,0.3204301075268817,0.0,15,39,0.6256410256410256,0.6256410256410256
47,1,4,13,11,9,7,14,3,0,12,5,2,6,8,10,71.0,17,0.38431372549019605,15,0.5333333333333333,39,0.4136752136752136,56.0,15,0.4047619047619047,0,31,0.21075268817204304,0.0,15,39,0.4136752136752136,0.4136752136752136
48,11,7,6,1,2,0,14,12,10,8,5,4,9,13,3,71.0,17,0.5725490196078431,15,0.5333333333333333,39,0.6307692307692307,56.0,15,0.613095238095238,0,31,0.31397849462365596,0.0,15,39,0.6307692307692307,0.6307692307692307
49,13,5,3,1,11,14,4,2,0,6,10,7,9,8,12,71.0,17,0.6745098039215687,15,0.5333333333333333,39,0.6102564102564102,56.0,15,0.6297619047619047,0,31,0.3698924731182796,0.0,15,39,0.6102564102564102,0.6102564102564102
50,5,8,3,13,7,9,6,11,0,14,12,10,1,4,2,71.0,17,0.5333333333333333,15,0.5333333333333333,39,0.5008547008547009,56.0,15,0.5107142857142857,0,31,0.2924731182795699,0.0,15,39,0.5008547008547009,0.5008547008547009
51,4,3,12,14,8,7,0,1,6,13,11,10,9,2,5,71.0,17,0.37254901960784315,15,0.5333333333333333,39,0.3692307692307692,56.0,15,0.37023809523809526,0,31,0.20430107526881724,0.0,15,39,0.3692307692307692,0.3692307692307692
52,13,14,11,0,12,6,10,5,2,9,3,8,7,1,4,71.0,17,0.32156862745098036,15,0.5333333333333333,39,0.5777777777777777,56.0,15,0.5,0,31,0.1763440860215054,0.0,15,39,0.5777777777777777,0.5777777777777777
53,11,0,7,1,10,3,13,6,14,5,8,4,12,2,9,71.0,17,0.6235294117647059,15,0.5333333333333333,39,0.5914529914529915,56.0,15,0.6011904761904763,0,31,0.3419354838709678,0.0,15,39,0.5914529914529915,0.5914529914529915
54,12,6,9,14,10,1,5,11,4,0,8,2,13,3,7,71.0,17,0.48627450980392156,15,0.5333333333333333,39,0.43076923076923074,56.0,15,0.4476190476190476,0,31,0.26666666666666666,0.0,15,39,0.43076923076923074,0.43076923076923074
55,13,9,8,2,3,11,6,1,7,12,14,5,4,0,10,71.0,17,0.4588235294117647,15,0.5333333333333333,39,0.5367521367521367,56.0,15,0.513095238095238,0,31,0.2516129032258065,0.0,15,39,0.5367521367521367,0.5367521367521367
56,4,2,14,10,6,1,5,11,13,7,9,3,0,12,8,71.0,17,0.3725490196078431,15,0.5333333333333333,39,0.45299145299145294,56.0,15,0.42857142857142855,0,31,0.2043010752688172,0.0,15,39,0.45299145299145294,0.45299145299145294
57,11,14,13,12,8,5,3,2,7,9,6,1,10,4,0,71.0,17,0.3294117647058823,15,0.5333333333333333,39,0.4256410256410257,56.0,15,0.3964285714285714,0,31,0.18064516129032263,0.0,15,39,0.4256410256410257,0.4256410256410257
58,2,6,14,11,5,4,13,10,0,3,1,7,9,12,8,71.0,17,0.3098039215686274,15,0.5333333333333333,39,0.42393162393162387,56.0,15,0.38928571428571423,0,31,0.16989247311827954,0.0,15,39,0.42393162393162387,0.42393162393162387
59,7,3,5,1,13,0,6,10,4,8,9,12,2,14,11,71.0,17,0.5647058823529412,15,0.5333333333333333,39,0.6102564102564102,56.0,15,0.5964285714285714,0,31,0.3096774193548387,0.0,15,39,0.6102564102564102,0.6102564102564102
60,6,13,12,5,3,9,14,11,8,7,2,4,1,10,0,71.0,17,0.34117647058823525,15,0.5333333333333333,39,0.5743589743589743,56.0,15,0.5035714285714287,0,31,0.18709677419354842,0.0,15,39,0.5743589743589743,0.5743589743589743
61,14,3,4,11,1,9,13,8,7,0,10,12,6,2,5,71.0,17,0.6235294117647059,15,0.5333333333333333,39,0.5418803418803418,56.0,15,0.5666666666666667,0,31,0.3419354838709677,0.0,15,39,0.5418803418803418,0.5418803418803418
62,1,4,14,9,8,10,13,12,5,3,11,2,6,0,7,71.0,17,0.3686274509803921,15,0.5333333333333333,39,0.45470085470085464,56.0,15,0.42857142857142855,0,31,0.2021505376344086,0.0,15,39,0.45470085470085464,0.45470085470085464
63,14,8,1,4,12,6,10,2,0,5,7,13,9,3,11,71.0,17,0.6549019607843137,15,0.5333333333333333,39,0.5948717948717949,56.0,15,0.613095238095238,0,31,0.35913978494623655,0.0,15,39,0.5948717948717949,0.5948717948717949
64,13,6,10,0,14,3,5,4,1,7,12,9,8,11,2,71.0,17,0.44705882352941173,15,0.5333333333333333,39,0.5897435897435898,56.0,15,0.5464285714285714,0,31,0.24516129032258066,0.0,15,39,0.5897435897435898,0.5897435897435898
65,1,6,4,5,0,2,9,3,8,11,12,7,13,14,10,71.0,17,0.6,15,0.5333333333333333,39,0.5213675213675213,56.0,15,0.5452380952380953,0,31,0.32903225806451614,0.0,15,39,0.5213675213675213,0.5213675213675213
66,5,11,14,4,7,10,2,1,13,0,12,9,8,3,6,71.0,17,0.28627450980392155,15,0.5333333333333333,39,0.49572649572649563,56.0,15,0.4321428571428571,0,31,0.15698924731182795,0.0,15,39,0.49572649572649563,0.49572649572649563
67,8,0,9,11,14,5,12,6,10,3,13,2,1,4,7,71.0,17,0.5803921568627451,15,0.5333333333333333,39,0.49914529914529915,56.0,15,0.5238095238095238,0,31,0.31827956989247314,0.0,15,39,0.49914529914529915,0.49914529914529915
68,8,6,12,3,10,11,13,4,14,1,7,9,0,5,2,71.0,17,0.4274509803921568,15,0.5333333333333333,39,0.5982905982905983,56.0,15,0.5464285714285714,0,31,0.23440860215053763,0.0,15,39,0.5982905982905983,0.5982905982905983
69,12,4,10,6,5,9,2,14,1,0,3,11,13,7,8,71.0,17,0.41568627450980394,15,0.5333333333333333,39,0.5076923076923078,56.0,15,0.4797619047619048,0,31,0.22795698924731184,0.0,15,39,0.5076923076923078,0.5076923076923078
