,Erica_cinerea,Teucrium_scorodonia,Gaultheria_shallon,Lonicera_periclymenum,Rubus_fruticosus,Calluna_vulgaris,Lotus_pedunculatus,Cirsium_arvense,Senecio_jacobaea,Erica_tetralix,Lotus_corniculatus,Potentilla_erecta,Hypochaeris_radicata,Ulex_europeus,N_all,N_flower_visitor,Area_flower_visitor,N_Plant,Area_Plant,N_leaf_miner,Area_leaf_miner,N_seed_feeder,Area_seed_feeder,N_passive,N_active,Area_merged,N_active_pollination,N_passive_pollination,Area_pollination,Area_only_pollination,N_active_herbivory,N_passive_herbivory,Area_herbivory,Area_only_herbivory
0,0,2,11,1,6,12,8,7,3,10,13,9,5,4,106.0,73,0.4227005870841487,14,0.5357142857142857,10,0.657142857142857,9,0.5238095238095237,92.0,14,0.4580745341614907,12,73,0.4227005870841487,0.4429223744292237,7,19,0.593984962406015,0.5789473684210527
1,11,7,0,2,1,3,9,5,10,6,13,4,12,8,106.0,73,0.44716242661448147,14,0.5357142857142857,10,0.8142857142857142,9,0.5079365079365079,92.0,14,0.49301242236024845,12,73,0.44716242661448147,0.43949771689497713,7,19,0.6691729323308271,0.7142857142857142
2,9,7,12,13,8,5,6,0,2,3,11,1,10,4,106.0,73,0.46966731898238745,14,0.5357142857142857,10,0.37857142857142856,9,0.6904761904761904,92.0,14,0.48136645962732916,12,73,0.46966731898238745,0.5034246575342466,7,19,0.5263157894736842,0.5714285714285714
3,3,2,10,6,5,0,4,13,9,11,7,1,8,12,106.0,73,0.5450097847358122,14,0.5357142857142857,10,0.657142857142857,9,0.14285714285714285,92.0,14,0.5178571428571428,12,73,0.5450097847358122,0.5376712328767123,7,19,0.4135338345864662,0.48872180451127817
4,7,3,10,13,9,8,4,12,2,0,11,5,6,1,106.0,73,0.44716242661448136,14,0.5357142857142857,10,0.37857142857142856,9,0.4126984126984127,92.0,14,0.4363354037267081,12,73,0.44716242661448136,0.5114155251141552,7,19,0.39473684210526316,0.5338345864661653
5,8,12,10,1,11,13,0,9,5,6,3,2,4,7,106.0,73,0.38747553816046965,14,0.5357142857142857,10,0.4285714285714286,9,0.4206349206349206,92.0,14,0.3951863354037267,12,73,0.38747553816046965,0.42009132420091316,7,19,0.42481203007518786,0.46616541353383456
6,6,5,8,13,10,2,4,1,0,3,7,11,9,12,106.0,73,0.4823874755381604,14,0.5357142857142857,10,0.3214285714285714,9,0.47619047619047616,92.0,14,0.4642857142857143,12,73,0.4823874755381604,0.46232876712328763,7,19,0.39473684210526316,0.5112781954887218
7,4,0,13,9,2,10,12,5,11,1,3,6,8,7,106.0,73,0.4608610567514677,14,0.5357142857142857,10,0.7,9,0.6111111111111109,92.0,14,0.5015527950310559,12,73,0.4608610567514677,0.4280821917808219,7,19,0.6578947368421051,0.6165413533834586
8,1,8,5,9,10,4,3,2,6,7,12,0,11,13,106.0,73,0.47064579256360073,14,0.5357142857142857,10,0.3642857142857142,9,0.38888888888888884,92.0,14,0.45108695652173914,12,73,0.47064579256360073,0.4520547945205479,7,19,0.37593984962406013,0.518796992481203
9,2,1,5,3,7,6,9,12,8,10,11,13,4,0,106.0,73,0.4569471624266144,14,0.5357142857142857,10,0.5857142857142856,9,0.4365079365079364,92.0,14,0.46894409937888193,12,73,0.4569471624266144,0.47831050228310495,7,19,0.5150375939849624,0.5338345864661653
10,8,10,7,2,11,4,3,9,0,6,13,1,12,5,106.0,73,0.40998043052837574,14,0.5357142857142857,10,0.40714285714285714,9,0.38888888888888884,92.0,14,0.40760869565217395,12,73,0.40998043052837574,0.4406392694063927,7,19,0.3984962406015038,0.5037593984962405
11,2,10,6,12,9,13,8,5,3,0,4,7,11,1,106.0,73,0.3062622309197651,14,0.5357142857142857,10,0.3142857142857143,9,0.6825396825396823,92.0,14,0.34394409937888193,12,73,0.3062622309197651,0.3333333333333333,7,19,0.4887218045112781,0.556390977443609
12,2,11,10,6,12,3,5,9,8,13,4,1,0,7,106.0,73,0.5968688845401173,14,0.5357142857142857,10,0.2857142857142857,9,0.39682539682539675,92.0,14,0.5434782608695651,12,73,0.5968688845401173,0.6038812785388128,7,19,0.33834586466165406,0.40601503759398494
13,13,5,11,0,7,10,3,2,1,8,6,9,12,4,106.0,73,0.3140900195694716,14,0.5357142857142857,10,0.6428571428571427,9,0.6984126984126983,92.0,14,0.38742236024844723,12,73,0.3140900195694716,0.3481735159817351,7,19,0.6691729323308269,0.46616541353383456
14,11,9,1,5,13,12,6,2,10,7,4,8,0,3,106.0,73,0.38062622309197647,14,0.5357142857142857,10,0.2642857142857143,9,0.6428571428571429,92.0,14,0.39363354037267084,12,73,0.38062622309197647,0.4052511415525114,7,19,0.4436090225563909,0.48872180451127817
15,9,7,12,4,2,0,10,11,3,6,8,1,13,5,106.0,73,0.47455968688845396,14,0.5357142857142857,10,0.7357142857142855,9,0.38095238095238093,92.0,14,0.4937888198757764,12,73,0.47455968688845396,0.4726027397260273,7,19,0.5676691729323308,0.6240601503759398
16,8,2,0,3,1,9,13,12,11,4,5,6,7,10,106.0,73,0.4403131115459882,14,0.5357142857142857,10,0.807142857142857,9,0.24603174603174602,92.0,14,0.46118012422360244,12,73,0.4403131115459882,0.36415525114155245,7,19,0.5413533834586466,0.6165413533834586
17,5,7,3,6,12,0,2,11,13,1,4,9,8,10,106.0,73,0.4393346379647749,14,0.5357142857142857,10,0.33571428571428574,9,0.2777777777777778,92.0,14,0.4122670807453416,12,73,0.4393346379647749,0.44520547945205474,7,19,0.3082706766917293,0.37593984962406013
18,11,6,5,3,10,13,7,8,1,2,0,4,12,9,106.0,73,0.2847358121330724,14,0.5357142857142857,10,0.4357142857142856,9,0.4365079365079364,92.0,14,0.3159937888198758,12,73,0.2847358121330724,0.29452054794520544,7,19,0.43609022556390975,0.38345864661654133
19,4,11,13,1,0,9,5,2,10,6,8,7,3,12,106.0,73,0.5508806262230919,14,0.5357142857142857,10,0.8714285714285712,9,0.5714285714285714,92.0,14,0.5877329192546584,12,73,0.5508806262230919,0.5273972602739726,7,19,0.7293233082706765,0.6842105263157894
20,6,12,0,5,7,2,11,1,9,8,3,4,13,10,106.0,73,0.433463796477495,14,0.5357142857142857,10,0.4642857142857142,9,0.603174603174603,92.0,14,0.45341614906832295,12,73,0.433463796477495,0.4029680365296803,7,19,0.5300751879699248,0.6090225563909775
21,12,8,3,6,9,2,10,7,5,4,11,13,1,0,106.0,73,0.5029354207436398,14,0.5357142857142857,10,0.3999999999999999,9,0.603174603174603,92.0,14,0.501552795031056,12,73,0.5029354207436398,0.5308219178082192,7,19,0.49624060150375926,0.593984962406015
22,13,11,1,0,10,8,9,12,6,7,5,3,2,4,106.0,73,0.43052837573385516,14,0.5357142857142857,10,0.4285714285714285,9,0.38888888888888884,92.0,14,0.4262422360248447,12,73,0.43052837573385516,0.4337899543378995,7,19,0.40977443609022546,0.49624060150375937
23,6,4,1,8,11,13,3,0,12,10,2,9,7,5,106.0,73,0.3023483365949119,14,0.5357142857142857,10,0.3642857142857142,9,0.6904761904761905,92.0,14,0.3470496894409938,12,73,0.3023483365949119,0.3424657534246575,7,19,0.5187969924812029,0.42857142857142855
24,11,10,2,9,4,1,6,12,0,13,5,8,7,3,106.0,73,0.471624266144814,14,0.5357142857142857,10,0.5857142857142856,9,0.4126984126984127,92.0,14,0.4782608695652174,12,73,0.471624266144814,0.5091324200913242,7,19,0.5037593984962405,0.593984962406015
25,9,5,2,0,6,7,8,11,1,12,4,3,10,13,106.0,73,0.4324853228962817,14,0.5357142857142857,10,0.6499999999999998,9,0.2222222222222222,92.0,14,0.43555900621118016,12,73,0.4324853228962817,0.38470319634703193,7,19,0.4473684210526315,0.48872180451127817
26,13,11,2,8,6,0,12,4,3,1,10,7,9,5,106.0,73,0.47064579256360073,14,0.5357142857142857,10,0.4642857142857142,9,0.6111111111111109,92.0,14,0.4836956521739131,12,73,0.47064579256360073,0.46118721461187207,7,19,0.5338345864661654,0.6992481203007519
27,5,7,3,1,6,11,10,8,13,9,4,12,0,2,106.0,73,0.43542074363992167,14,0.5357142857142857,10,0.607142857142857,9,0.603174603174603,92.0,14,0.4704968944099379,12,73,0.43542074363992167,0.4520547945205479,7,19,0.6052631578947367,0.5639097744360901
28,5,7,0,1,3,10,9,6,8,11,4,13,2,12,106.0,73,0.47064579256360073,14,0.5357142857142857,10,0.7428571428571427,9,0.4444444444444444,92.0,14,0.4976708074534162,12,73,0.47064579256360073,0.43264840182648395,7,19,0.6015037593984962,0.6240601503759398
29,6,13,3,11,4,7,0,2,1,9,5,12,8,10,106.0,73,0.4559686888454011,14,0.5357142857142857,10,0.5785714285714285,9,0.611111111111111,92.0,14,0.484472049689441,12,73,0.4559686888454011,0.4668949771689497,7,19,0.593984962406015,0.6240601503759398
30,3,10,6,12,13,11,1,4,9,2,0,5,7,8,106.0,73,0.3669275929549902,14,0.5357142857142857,10,0.19285714285714287,9,0.5079365079365079,92.0,14,0.36180124223602483,12,73,0.3669275929549902,0.39155251141552505,7,19,0.3421052631578947,0.41353383458646614
31,8,2,1,11,13,0,12,3,5,9,6,7,4,10,106.0,73,0.5332681017612524,14,0.5357142857142857,10,0.18571428571428572,9,0.4365079365079365,92.0,14,0.4860248447204969,12,73,0.5332681017612524,0.4885844748858447,7,19,0.30451127819548873,0.43609022556390975
32,13,7,5,4,12,1,3,8,2,11,9,6,0,10,106.0,73,0.522504892367906,14,0.5357142857142857,10,0.3571428571428571,9,0.30952380952380953,92.0,14,0.48369565217391297,12,73,0.522504892367906,0.5273972602739726,7,19,0.33458646616541354,0.39849624060150374
33,13,11,1,0,6,8,3,12,4,9,2,5,10,7,106.0,73,0.3414872798434442,14,0.5357142857142857,10,0.6428571428571428,9,0.3412698412698413,92.0,14,0.37422360248447206,12,73,0.3414872798434442,0.37671232876712324,7,19,0.5,0.48872180451127817
34,0,7,11,12,4,9,1,5,13,10,8,3,6,2,106.0,73,0.4735812133072407,14,0.5357142857142857,10,0.6,9,0.6904761904761902,92.0,14,0.5085403726708074,12,73,0.4735812133072407,0.545662100456621,7,19,0.6428571428571428,0.6165413533834586
35,13,2,3,7,9,5,0,6,11,12,1,8,4,10,106.0,73,0.4178082191780821,14,0.5357142857142857,10,0.4999999999999999,9,0.46825396825396814,92.0,14,0.43167701863354035,12,73,0.4178082191780821,0.43264840182648395,7,19,0.4849624060150375,0.41353383458646614
36,6,9,2,10,3,4,11,1,5,13,7,12,0,8,106.0,73,0.6027397260273972,14,0.5357142857142857,10,0.5857142857142856,9,0.6825396825396823,92.0,14,0.6086956521739131,12,73,0.6027397260273972,0.5742009132420091,7,19,0.631578947368421,0.7067669172932329
37,1,6,2,3,11,10,0,8,12,7,13,5,9,4,106.0,73,0.3561643835616438,14,0.5357142857142857,10,0.44285714285714284,9,0.4365079365079365,92.0,14,0.3734472049689441,12,73,0.3561643835616438,0.41095890410958896,7,19,0.4398496240601504,0.48120300751879697
38,2,7,1,13,11,9,8,5,3,0,6,12,4,10,106.0,73,0.4491193737769079,14,0.5357142857142857,10,0.2357142857142857,9,0.4206349206349206,92.0,14,0.4231366459627329,12,73,0.4491193737769079,0.43378995433789946,7,19,0.32330827067669166,0.47368421052631576
39,6,12,13,3,7,9,8,1,4,5,0,2,10,11,106.0,73,0.45205479452054786,14,0.5357142857142857,10,0.5142857142857142,9,0.603174603174603,92.0,14,0.47360248447204967,12,73,0.45205479452054786,0.41666666666666663,7,19,0.556390977443609,0.5789473684210527
40,13,7,10,5,0,8,2,1,4,9,11,6,3,12,106.0,73,0.5058708414872798,14,0.5357142857142857,10,0.8642857142857141,9,0.5873015873015872,92.0,14,0.5527950310559007,12,73,0.5058708414872798,0.5148401826484018,7,19,0.7330827067669171,0.6992481203007519
41,0,12,11,10,5,7,13,6,1,3,8,2,4,9,106.0,73,0.608610567514677,14,0.5357142857142857,10,0.4642857142857143,9,0.4841269841269841,92.0,14,0.5807453416149068,12,73,0.608610567514677,0.5536529680365296,7,19,0.4736842105263158,0.7368421052631577
42,13,10,7,2,8,12,11,3,5,6,9,0,1,4,106.0,73,0.4510763209393346,14,0.5357142857142857,10,0.4785714285714284,9,0.6349206349206348,92.0,14,0.4720496894409938,12,73,0.4510763209393346,0.45433789954337894,7,19,0.5526315789473684,0.6390977443609023
