,Grass unknown,Triticum sp.,Glechoma hederacea,Fraxinus excelsior,Cirsium vulgare,Cirsium arvense,Fagus sylvatica,Geranium dissectum,Stachys sylvatica,Hordeum vulgare,Anthriscus sylvestris,Trifolium spp.,Ulmus procera,Sonchus arvensis,Viola sp.,Chenopodium album,Stellaria media,Zea mays,Crataegus monogyna,Vicia faba,Urtica dioica,Brassica napus sp.,Brassica sp.,Sambucus nigra,Clematis vitalba,Ranunculus repens,Taraxacum spp.,Senecio jacobaea,Geum urbanum,Prunus spinosa,N_all,N_Host,Area_Host,N_Plant,Area_Plant,N_Parasitoid,Area_Parasitoid,N_passive,N_active,Area_merged,N_active_parasitism,N_passive_parasitism,Area_parasitism,Area_only_parasitism,N_active_herbivory,N_passive_herbivory,Area_herbivory,Area_only_herbivory
0,27,17,3,10,7,9,15,21,14,18,24,0,11,13,6,4,5,19,2,29,20,22,26,16,28,12,8,1,25,23,121.0,56,0.45178571428571435,30,0.5166666666666667,35,0.3161904761904762,91.0,30,0.3996336996336997,0,60,0.18444444444444447,0.0,30,56,0.45178571428571435,0.45178571428571435
1,7,27,22,20,21,0,15,23,8,2,14,12,11,18,10,28,26,24,1,16,29,25,19,4,6,9,5,3,13,17,121.0,56,0.4547619047619047,30,0.5166666666666667,35,0.23238095238095238,91.0,30,0.3692307692307692,0,60,0.13555555555555554,0.0,30,56,0.4547619047619047,0.4547619047619047
2,15,12,0,7,9,3,6,8,24,4,22,20,29,23,18,11,14,25,27,21,26,2,16,10,13,28,5,19,1,17,121.0,56,0.40535714285714286,30,0.5166666666666667,35,0.3828571428571429,91.0,30,0.3967032967032967,0,60,0.22333333333333333,0.0,30,56,0.40535714285714286,0.40535714285714286
3,15,25,10,6,7,12,16,9,20,2,4,19,8,18,29,1,21,23,28,26,13,27,3,5,22,17,14,0,24,11,121.0,56,0.4726190476190477,30,0.5166666666666667,35,0.3971428571428571,91.0,30,0.4435897435897437,0,60,0.2316666666666667,0.0,30,56,0.4726190476190477,0.4726190476190477
4,22,18,7,0,12,15,24,10,14,21,29,20,17,13,28,8,26,25,2,5,9,1,27,23,19,11,6,4,3,16,121.0,56,0.5333333333333333,30,0.5166666666666667,35,0.49714285714285705,91.0,30,0.5194139194139195,0,60,0.2899999999999999,0.0,30,56,0.5333333333333333,0.5333333333333333
5,0,10,16,2,25,21,24,14,27,6,18,8,9,28,22,19,20,29,4,15,5,26,23,7,12,17,1,11,3,13,121.0,56,0.5755952380952382,30,0.5166666666666667,35,0.4895238095238095,91.0,30,0.5424908424908426,0,60,0.28555555555555556,0.0,30,56,0.5755952380952382,0.5755952380952382
6,13,28,4,24,7,15,6,11,2,21,16,18,12,29,19,3,17,0,10,23,20,22,1,27,5,9,26,25,8,14,121.0,56,0.48928571428571427,30,0.5166666666666667,35,0.3161904761904762,91.0,30,0.42271062271062276,0,60,0.18444444444444447,0.0,30,56,0.48928571428571427,0.48928571428571427
7,13,24,4,7,27,9,25,6,11,10,8,29,17,22,20,14,12,5,1,19,28,16,18,23,15,2,3,0,21,26,121.0,56,0.42261904761904767,30,0.5166666666666667,35,0.26095238095238094,91.0,30,0.36043956043956044,0,60,0.1522222222222222,0.0,30,56,0.42261904761904767,0.42261904761904767
8,27,20,11,15,2,0,24,26,13,9,21,4,12,16,1,18,6,19,10,28,5,14,29,7,25,23,3,22,8,17,121.0,56,0.5178571428571429,30,0.5166666666666667,35,0.4180952380952382,91.0,30,0.47948717948717945,0,60,0.24388888888888893,0.0,30,56,0.5178571428571429,0.5178571428571429
9,15,16,25,1,21,28,17,14,5,7,13,20,0,26,22,18,11,27,12,4,29,10,23,3,24,2,8,9,6,19,121.0,56,0.44226190476190486,30,0.5166666666666667,35,0.3238095238095238,91.0,30,0.39670329670329674,0,60,0.18888888888888888,0.0,30,56,0.44226190476190486,0.44226190476190486
10,26,28,21,29,10,11,27,8,17,3,14,6,23,20,4,18,7,9,5,22,24,25,13,15,16,12,0,1,19,2,121.0,56,0.4083333333333333,30,0.5166666666666667,35,0.24,91.0,30,0.3435897435897436,0,60,0.13999999999999999,0.0,30,56,0.4083333333333333,0.4083333333333333
11,21,12,14,15,16,2,22,9,29,25,7,24,10,23,20,5,17,26,4,3,1,18,8,19,0,13,6,27,11,28,121.0,56,0.6017857142857143,30,0.5166666666666667,35,0.5266666666666668,91.0,30,0.5728937728937729,0,60,0.30722222222222223,0.0,30,56,0.6017857142857143,0.6017857142857143
12,26,20,18,10,21,28,6,23,5,15,8,12,13,16,4,3,1,11,24,0,17,29,2,19,9,7,25,27,22,14,121.0,56,0.46309523809523817,30,0.5166666666666667,35,0.3228571428571429,91.0,30,0.4091575091575092,0,60,0.18833333333333335,0.0,30,56,0.46309523809523817,0.46309523809523817
13,15,0,5,12,20,21,13,18,22,16,9,19,23,4,6,7,3,24,28,2,8,1,26,27,17,29,14,11,10,25,121.0,56,0.5202380952380954,30,0.5166666666666667,35,0.5152380952380953,91.0,30,0.5183150183150185,0,60,0.3005555555555555,0.0,30,56,0.5202380952380954,0.5202380952380954
14,17,8,25,22,20,24,28,27,16,26,15,10,5,1,29,3,14,19,4,2,21,18,0,23,11,12,13,9,6,7,121.0,56,0.5136904761904763,30,0.5166666666666667,35,0.4085714285714286,91.0,30,0.47326007326007324,0,60,0.23833333333333334,0.0,30,56,0.5136904761904763,0.5136904761904763
15,19,11,9,7,15,0,16,5,1,8,4,17,10,12,18,26,23,27,6,2,20,21,22,29,25,3,24,13,28,14,121.0,56,0.47380952380952385,30,0.5166666666666667,35,0.3657142857142858,91.0,30,0.43223443223443225,0,60,0.21333333333333337,0.0,30,56,0.47380952380952385,0.47380952380952385
16,18,16,17,7,25,23,24,2,6,5,26,27,1,4,12,29,8,9,21,11,13,20,28,15,3,19,10,0,22,14,121.0,56,0.4988095238095238,30,0.5166666666666667,35,0.40761904761904766,91.0,30,0.4637362637362637,0,60,0.2377777777777778,0.0,30,56,0.4988095238095238,0.4988095238095238
