,Grass unknown,Triticum sp.,Brassica oleracea (Acephala group),Glechoma hederacea,Fraxinus excelsior,Capsella bursa-pastoris,Brassica rapa sp.,Cirsium arvense,Hordeum vulgare,Anthriscus sylvestris,ukP39,Holcus lanatus,Trifolium spp.,Ulmus procera,Chenopodium album,Zea mays,Crataegus monogyna,Urtica dioica,Rumex spp.,Ranunculus ficaria,Ranunculus repens,Vicia sepium,Silene sp.,Corylus avellana,Sonchus asper,Acer campestre,Rubus fruticosus,Prunus spinosa,Heracleum sphondylium,Senecio vulgaris,N_all,N_Host,Area_Host,N_Plant,Area_Plant,N_Parasitoid,Area_Parasitoid,N_passive,N_active,Area_merged,N_active_parasitism,N_passive_parasitism,Area_parasitism,Area_only_parasitism,N_active_herbivory,N_passive_herbivory,Area_herbivory,Area_only_herbivory
0,7,26,21,0,13,29,16,6,2,11,17,23,1,27,3,10,20,15,14,12,28,25,8,4,22,19,9,5,18,24,124.0,54,0.5413580246913581,30,0.5166666666666667,40,0.4291666666666667,94.0,30,0.4936170212765958,0,68,0.25245098039215685,0.0,30,53,0.5515723270440251,0.5515723270440251
1,24,26,11,27,28,14,23,7,0,13,20,21,19,10,17,1,29,4,15,22,16,25,6,3,18,12,8,2,9,5,124.0,54,0.5901234567901235,30,0.5166666666666667,40,0.44333333333333336,94.0,30,0.5276595744680851,0,68,0.2607843137254901,0.0,30,53,0.6012578616352201,0.6012578616352201
2,1,8,4,14,25,12,18,6,28,11,0,2,15,23,21,10,3,17,19,13,27,7,20,5,26,16,9,29,24,22,124.0,54,0.5166666666666666,30,0.5166666666666667,40,0.5658333333333334,94.0,30,0.5375886524822696,0,68,0.33284313725490194,0.0,30,53,0.5264150943396226,0.5264150943396226
3,22,13,26,28,0,20,12,8,3,29,9,10,14,2,25,24,21,1,16,17,4,5,23,15,6,19,7,18,27,11,124.0,54,0.4901234567901235,30,0.5166666666666667,40,0.3433333333333334,94.0,30,0.42765957446808517,0,68,0.2019607843137255,0.0,30,53,0.4993710691823899,0.4993710691823899
4,21,4,17,6,18,29,16,0,8,10,2,26,12,7,19,13,20,5,27,15,23,14,28,9,25,3,22,1,24,11,124.0,54,0.5858024691358026,30,0.5166666666666667,40,0.3983333333333333,94.0,30,0.5060283687943262,0,68,0.23431372549019608,0.0,30,53,0.5968553459119497,0.5968553459119497
5,15,19,13,26,27,14,23,22,25,7,0,12,9,1,4,6,16,2,3,10,18,17,20,28,29,11,24,5,21,8,124.0,54,0.5290123456790123,30,0.5166666666666667,40,0.47583333333333333,94.0,30,0.5063829787234042,0,68,0.27990196078431373,0.0,30,53,0.5389937106918239,0.5389937106918239
6,23,26,11,18,6,17,24,20,29,2,27,3,16,21,10,15,13,14,19,1,8,28,5,22,25,12,7,4,0,9,124.0,54,0.478395061728395,30,0.5166666666666667,40,0.4025000000000001,94.0,30,0.4460992907801418,0,68,0.23676470588235288,0.0,30,53,0.4874213836477987,0.4874213836477987
7,22,24,13,16,14,11,4,0,12,21,26,6,8,7,3,1,2,18,15,23,28,10,20,5,17,19,25,29,27,9,124.0,54,0.538888888888889,30,0.5166666666666667,40,0.4833333333333334,94.0,30,0.5152482269503545,0,68,0.284313725490196,0.0,30,53,0.5490566037735849,0.5490566037735849
8,28,14,16,27,0,3,1,23,19,17,29,15,4,2,21,26,11,6,22,7,12,24,5,9,18,25,13,10,20,8,124.0,54,0.5283950617283951,30,0.5166666666666667,40,0.4049999999999999,94.0,30,0.475886524822695,0,68,0.2382352941176471,0.0,30,53,0.5383647798742138,0.5383647798742138
9,22,16,3,17,6,23,1,28,15,20,21,27,12,18,5,19,9,13,0,25,11,7,14,4,26,24,2,10,29,8,124.0,54,0.5802469135802468,30,0.5166666666666667,40,0.4491666666666666,94.0,30,0.524468085106383,0,68,0.2642156862745098,0.0,30,53,0.5911949685534591,0.5911949685534591
10,22,7,9,27,6,17,11,23,15,0,24,8,16,29,10,20,21,1,3,25,28,19,4,5,2,13,18,26,12,14,124.0,54,0.55,30,0.5166666666666667,40,0.48916666666666664,94.0,30,0.524113475177305,0,68,0.2877450980392156,0.0,30,53,0.560377358490566,0.560377358490566
11,20,28,1,2,29,9,21,5,27,12,7,13,19,22,24,4,15,23,3,25,11,16,0,26,14,18,6,10,17,8,124.0,54,0.4617283950617284,30,0.5166666666666667,40,0.3766666666666666,94.0,30,0.425531914893617,0,68,0.22156862745098038,0.0,30,53,0.470440251572327,0.470440251572327
12,15,11,3,17,10,0,28,16,9,13,7,23,6,12,4,25,22,20,8,2,19,26,24,21,27,29,5,14,18,1,124.0,54,0.4469135802469136,30,0.5166666666666667,40,0.3408333333333333,94.0,30,0.4017730496453902,0,68,0.20049019607843133,0.0,30,53,0.4553459119496855,0.4553459119496855
13,20,2,18,23,15,13,6,27,19,1,14,11,22,28,26,8,21,24,10,29,4,16,25,12,17,9,0,3,7,5,124.0,54,0.5166666666666666,30,0.5166666666666667,40,0.49083333333333334,94.0,30,0.5056737588652482,0,68,0.28872549019607835,0.0,30,53,0.5264150943396226,0.5264150943396226
14,21,15,2,17,19,18,7,12,20,0,24,6,13,4,3,11,28,5,14,22,29,8,25,27,23,26,1,10,9,16,124.0,54,0.5240740740740741,30,0.5166666666666667,40,0.4683333333333334,94.0,30,0.500354609929078,0,68,0.27549019607843134,0.0,30,53,0.5339622641509434,0.5339622641509434
15,26,12,13,28,6,11,22,10,5,16,27,4,1,15,14,7,19,29,2,23,25,3,21,18,20,0,8,9,24,17,124.0,54,0.48827160493827176,30,0.5166666666666667,40,0.35083333333333333,94.0,30,0.42978723404255315,0,68,0.20637254901960783,0.0,30,53,0.4974842767295597,0.4974842767295597
16,7,5,16,10,12,4,18,9,17,6,23,26,13,21,25,2,19,3,11,29,8,15,27,14,0,22,20,1,24,28,124.0,54,0.578395061728395,30,0.5166666666666667,40,0.4225,94.0,30,0.5120567375886524,0,68,0.24852941176470583,0.0,30,53,0.5893081761006289,0.5893081761006289
17,29,19,9,22,28,8,10,12,15,2,27,16,21,3,7,6,26,25,20,11,24,23,4,5,0,14,18,17,13,1,124.0,54,0.5055555555555556,30,0.5166666666666667,40,0.42166666666666663,94.0,30,0.4698581560283687,0,68,0.24803921568627446,0.0,30,53,0.5150943396226415,0.5150943396226415
18,12,20,5,15,10,16,28,18,8,14,1,17,22,9,26,3,11,24,2,6,4,7,29,0,21,27,13,23,25,19,124.0,54,0.4987654320987654,30,0.5166666666666667,40,0.43333333333333335,94.0,30,0.47092198581560285,0,68,0.2549019607843137,0.0,30,53,0.5081761006289308,0.5081761006289308
19,28,10,29,13,24,19,11,0,3,18,15,22,12,7,4,9,17,6,8,5,26,23,27,16,1,14,21,2,25,20,124.0,54,0.5648148148148149,30,0.5166666666666667,40,0.39916666666666667,94.0,30,0.49432624113475165,0,68,0.2348039215686275,0.0,30,53,0.5754716981132075,0.5754716981132075
20,5,24,21,9,0,13,17,2,27,26,7,14,10,29,19,25,22,8,12,3,23,18,11,15,6,16,4,1,20,28,124.0,54,0.5055555555555555,30,0.5166666666666667,40,0.37250000000000005,94.0,30,0.44893617021276605,0,68,0.21911764705882347,0.0,30,53,0.5150943396226415,0.5150943396226415
21,27,5,16,12,3,7,23,24,20,15,21,22,19,9,2,10,17,0,28,11,26,4,25,6,14,13,8,1,29,18,124.0,54,0.6067901234567903,30,0.5166666666666667,40,0.41333333333333333,94.0,30,0.5244680851063829,0,68,0.2431372549019608,0.0,30,53,0.6182389937106918,0.6182389937106918
22,5,6,24,15,27,7,12,10,8,13,23,16,22,11,1,29,25,18,28,20,17,26,9,21,2,4,3,14,0,19,124.0,54,0.4401234567901235,30,0.5166666666666667,40,0.4241666666666666,94.0,30,0.4333333333333333,0,68,0.24950980392156857,0.0,30,53,0.4484276729559748,0.4484276729559748
23,5,6,10,15,14,3,2,20,18,1,17,13,16,0,4,9,26,27,12,19,28,8,23,11,22,21,29,24,25,7,124.0,54,0.478395061728395,30,0.5166666666666667,40,0.5241666666666667,94.0,30,0.4978723404255319,0,68,0.3083333333333333,0.0,30,53,0.4874213836477987,0.4874213836477987
24,29,10,16,25,21,24,5,18,17,15,14,19,7,6,1,28,8,27,13,9,11,2,4,20,26,3,22,23,0,12,124.0,54,0.4401234567901234,30,0.5166666666666667,40,0.33333333333333337,94.0,30,0.3946808510638297,0,68,0.196078431372549,0.0,30,53,0.4484276729559748,0.4484276729559748
25,11,14,13,5,1,4,19,7,23,24,28,9,8,27,21,15,25,2,10,20,12,29,17,6,26,22,16,3,18,0,124.0,54,0.5611111111111109,30,0.5166666666666667,40,0.48916666666666664,94.0,30,0.5304964539007092,0,68,0.28774509803921566,0.0,30,53,0.5716981132075472,0.5716981132075472
26,23,25,4,28,12,0,8,9,21,14,7,20,2,24,18,11,15,19,10,29,17,16,3,1,5,22,13,27,6,26,124.0,54,0.5228395061728395,30,0.5166666666666667,40,0.4508333333333333,94.0,30,0.4921985815602837,0,68,0.2651960784313725,0.0,30,53,0.5327044025157233,0.5327044025157233
27,4,5,24,19,27,29,2,20,18,7,21,15,11,1,22,12,6,23,8,3,9,13,26,28,25,14,10,17,16,0,124.0,54,0.43641975308641984,30,0.5166666666666667,40,0.46833333333333327,94.0,30,0.45,0,68,0.27549019607843134,0.0,30,53,0.4446540880503144,0.4446540880503144
28,19,14,8,1,13,29,27,2,9,20,22,21,16,11,17,4,12,0,3,10,24,7,15,18,25,26,6,23,5,28,124.0,54,0.5382716049382716,30,0.5166666666666667,40,0.41166666666666674,94.0,30,0.4843971631205673,0,68,0.242156862745098,0.0,30,53,0.5484276729559748,0.5484276729559748
29,5,9,4,22,16,24,21,19,14,27,23,1,20,18,28,2,15,25,3,0,8,11,17,7,6,29,26,12,10,13,124.0,54,0.4919753086419753,30,0.5166666666666667,40,0.5158333333333334,94.0,30,0.5021276595744681,0,68,0.30343137254901964,0.0,30,53,0.5012578616352201,0.5012578616352201
30,27,28,25,7,2,24,11,15,22,20,17,23,8,21,5,9,13,29,14,3,0,6,26,10,18,12,1,16,19,4,124.0,54,0.4518518518518519,30,0.5166666666666667,40,0.3408333333333333,94.0,30,0.40460992907801413,0,68,0.20049019607843138,0.0,30,53,0.460377358490566,0.460377358490566
31,24,22,19,25,3,27,21,4,13,12,6,10,29,23,14,17,9,18,20,5,8,26,15,1,7,11,16,0,2,28,124.0,54,0.5512345679012345,30,0.5166666666666667,40,0.43666666666666665,94.0,30,0.5024822695035461,0,68,0.2568627450980392,0.0,30,53,0.5616352201257861,0.5616352201257861
