,Sinapis arvensis,Grass unknown,Acer pseudoplatanus,Avena spp.,Vicia sativa,Plantago major,Malus sp.,Cerastium fontanum,Trifolium spp.,Crataegus monogyna,Vicia faba,Urtica dioica,Rumex spp.,Ranunculus ficaria,Ranunculus repens,Silene sp.,Acer campestre,Senecio jacobaea,Geum urbanum,Rubus fruticosus,Prunus spinosa,Arrhenatherum elatius,Heracleum sphondylium,N_all,N_Host,Area_Host,N_Plant,Area_Plant,N_Parasitoid,Area_Parasitoid,N_passive,N_active,Area_merged,N_active_parasitism,N_passive_parasitism,Area_parasitism,Area_only_parasitism,N_active_herbivory,N_passive_herbivory,Area_herbivory,Area_only_herbivory
0,20,21,8,17,2,19,15,22,4,7,13,3,11,9,16,1,0,10,14,6,5,18,12,109.0,56,0.6133540372670806,23,0.5217391304347826,30,0.45942028985507255,86.0,23,0.5596562184024266,0,47,0.2932469935245144,0.0,23,56,0.6133540372670806,0.6133540372670806
1,7,22,16,13,9,12,14,20,8,0,10,21,1,18,3,2,4,6,5,11,15,17,19,109.0,56,0.46506211180124224,23,0.5217391304347826,30,0.3521739130434782,86.0,23,0.4256825075834175,0,47,0.22479185938945423,0.0,23,56,0.46506211180124224,0.46506211180124224
2,22,11,5,7,19,10,6,4,9,16,0,17,2,3,13,12,20,14,1,8,15,18,21,109.0,56,0.3913043478260869,23,0.5217391304347826,30,0.34782608695652173,86.0,23,0.3761375126390293,0,47,0.22201665124884365,0.0,23,56,0.3913043478260869,0.3913043478260869
3,12,15,19,5,9,21,22,7,13,4,10,1,16,17,18,11,20,3,0,14,8,6,2,109.0,56,0.578416149068323,23,0.5217391304347826,30,0.42463768115942013,86.0,23,0.5247724974721941,0,47,0.27104532839962997,0.0,23,56,0.578416149068323,0.578416149068323
4,13,7,8,20,22,2,10,5,14,4,6,0,3,21,15,1,19,18,12,17,11,9,16,109.0,56,0.5559006211180124,23,0.5217391304347826,30,0.38695652173913053,86.0,23,0.4969666329625885,0,47,0.2469935245143386,0.0,23,56,0.5559006211180124,0.5559006211180124
5,19,5,11,13,3,2,4,20,10,7,22,17,1,16,15,21,18,12,8,0,9,6,14,109.0,56,0.4798136645962733,23,0.5217391304347826,30,0.3652173913043478,86.0,23,0.43983822042467136,0,47,0.23311748381128586,0.0,23,56,0.4798136645962733,0.4798136645962733
6,16,12,22,13,15,0,19,3,1,4,5,9,7,11,6,17,2,8,21,10,20,14,18,109.0,56,0.48680124223602483,23,0.5217391304347826,30,0.5014492753623189,86.0,23,0.4919110212335692,0,47,0.32007400555041626,0.0,23,56,0.48680124223602483,0.48680124223602483
7,13,10,15,5,8,4,22,2,11,12,21,0,17,18,6,19,1,16,9,14,7,20,3,109.0,56,0.638975155279503,23,0.5217391304347826,30,0.42028985507246375,86.0,23,0.5626895854398383,0,47,0.2682701202590195,0.0,23,56,0.638975155279503,0.638975155279503
8,5,12,0,11,14,10,1,8,16,17,2,18,19,15,7,20,4,3,6,13,21,9,22,109.0,56,0.3874223602484471,23,0.5217391304347826,30,0.3971014492753623,86.0,23,0.390798786653185,0,47,0.2534690101757632,0.0,23,56,0.3874223602484471,0.3874223602484471
9,15,10,5,16,20,17,18,22,19,1,3,9,6,14,7,21,11,8,2,4,0,12,13,109.0,56,0.6645962732919253,23,0.5217391304347826,30,0.4695652173913043,86.0,23,0.596562184024267,0,47,0.2997224791859389,0.0,23,56,0.6645962732919253,0.6645962732919253
10,8,11,2,5,15,4,12,0,14,17,16,7,3,10,9,18,19,22,21,13,20,1,6,109.0,56,0.4324534161490683,23,0.5217391304347826,30,0.46231884057971007,86.0,23,0.4428715874620829,0,47,0.29509713228492135,0.0,23,56,0.4324534161490683,0.4324534161490683
11,22,21,10,19,5,16,17,7,9,20,12,13,0,6,3,18,8,1,11,15,14,4,2,109.0,56,0.4642857142857143,23,0.5217391304347826,30,0.48115942028985503,86.0,23,0.47017189079878663,0,47,0.30712303422756704,0.0,23,56,0.4642857142857143,0.4642857142857143
12,21,10,7,19,14,16,18,22,15,13,9,4,8,2,20,12,0,6,3,11,5,17,1,109.0,56,0.5559006211180123,23,0.5217391304347826,30,0.3826086956521738,86.0,23,0.49544994944388265,0,47,0.24421831637372807,0.0,23,56,0.5559006211180123,0.5559006211180123
13,1,8,0,18,13,5,10,16,7,4,20,3,22,12,2,17,21,19,14,9,11,15,6,109.0,56,0.5916149068322981,23,0.5217391304347826,30,0.5159420289855072,86.0,23,0.5652173913043478,0,47,0.32932469935245146,0.0,23,56,0.5916149068322981,0.5916149068322981
14,3,5,10,1,18,7,22,2,8,14,21,19,4,9,6,20,17,15,13,16,11,0,12,109.0,56,0.45496894409937894,23,0.5217391304347826,30,0.4608695652173912,86.0,23,0.4570273003033367,0,47,0.29417206290471787,0.0,23,56,0.45496894409937894,0.45496894409937894
15,7,19,1,22,15,8,17,2,11,0,16,3,10,14,9,18,13,20,12,6,4,5,21,109.0,56,0.65527950310559,23,0.5217391304347826,30,0.5115942028985507,86.0,23,0.6051567239635995,0,47,0.3265494912118409,0.0,23,56,0.65527950310559,0.65527950310559
16,19,15,2,10,8,16,18,4,17,6,5,11,22,3,7,1,21,13,14,12,0,9,20,109.0,56,0.6102484472049688,23,0.5217391304347826,30,0.5507246376811594,86.0,23,0.58948432760364,0,47,0.3515263644773358,0.0,23,56,0.6102484472049688,0.6102484472049688
17,5,0,20,12,6,4,16,11,3,21,1,15,14,7,18,8,10,19,17,22,2,9,13,109.0,56,0.47360248447204956,23,0.5217391304347826,30,0.42898550724637674,86.0,23,0.4580384226491405,0,47,0.2738205365402405,0.0,23,56,0.47360248447204956,0.47360248447204956
18,14,7,5,8,17,20,21,3,10,22,18,9,6,1,2,12,4,16,19,0,13,15,11,109.0,56,0.48059006211180133,23,0.5217391304347826,30,0.5565217391304348,86.0,23,0.507077856420627,0,47,0.35522664199814985,0.0,23,56,0.48059006211180133,0.48059006211180133
19,4,17,22,5,14,12,8,2,13,1,10,19,9,0,7,16,20,18,15,6,3,21,11,109.0,56,0.5543478260869565,23,0.5217391304347826,30,0.4797101449275363,86.0,23,0.5283114256825077,0,47,0.30619796484736356,0.0,23,56,0.5543478260869565,0.5543478260869565
20,2,8,14,13,21,9,15,18,11,19,5,6,16,0,3,12,7,10,20,1,4,22,17,109.0,56,0.5799689440993789,23,0.5217391304347826,30,0.6115942028985507,86.0,23,0.5910010111223458,0,47,0.3903792784458834,0.0,23,56,0.5799689440993789,0.5799689440993789
21,6,3,0,4,20,1,9,8,13,18,12,10,16,21,19,14,7,22,11,17,5,2,15,109.0,56,0.5054347826086957,23,0.5217391304347826,30,0.3449275362318841,86.0,23,0.44944388270980784,0,47,0.2201665124884367,0.0,23,56,0.5054347826086957,0.5054347826086957
22,8,5,1,13,14,6,17,10,16,12,22,11,3,2,7,18,20,15,19,4,0,9,21,109.0,56,0.5753105590062112,23,0.5217391304347826,30,0.5144927536231885,86.0,23,0.5540950455005055,0,47,0.328399629972248,0.0,23,56,0.5753105590062112,0.5753105590062112
23,22,9,12,20,13,19,2,11,18,14,17,6,21,4,8,16,15,10,5,3,0,7,1,109.0,56,0.6001552795031055,23,0.5217391304347826,30,0.5057971014492754,86.0,23,0.5672396359959554,0,47,0.3228492136910268,0.0,23,56,0.6001552795031055,0.6001552795031055
24,16,12,1,4,14,11,8,0,17,19,13,5,18,21,6,22,3,7,9,10,2,20,15,109.0,56,0.6079192546583851,23,0.5217391304347826,30,0.30289855072463767,86.0,23,0.5015166835187057,0,47,0.1933395004625347,0.0,23,56,0.6079192546583851,0.6079192546583851
25,2,5,3,4,9,0,8,13,11,15,7,20,17,18,12,21,10,1,14,19,22,16,6,109.0,56,0.3555900621118012,23,0.5217391304347826,30,0.3405797101449275,86.0,23,0.35035389282103135,0,47,0.21739130434782608,0.0,23,56,0.3555900621118012,0.3555900621118012
26,8,21,1,22,5,0,7,3,4,17,15,16,13,9,19,6,12,2,10,20,18,11,14,109.0,56,0.3493788819875776,23,0.5217391304347826,30,0.29565217391304344,86.0,23,0.33063700707785637,0,47,0.18871415356151713,0.0,23,56,0.3493788819875776,0.3493788819875776
