,Grass unknown,Triticum sp.,Glechoma hederacea,Acer pseudoplatanus,Prunus sp.,Anthriscus sylvestris,Trifolium spp.,Stellaria media,Zea mays,Crataegus monogyna,Urtica dioica,Rumex spp.,Crataegus monogyna ,Sambucus nigra,Ranunculus repens,Corylus avellana,Silene dioica,Rubus fruticosus,Prunus spinosa,Heracleum sphondylium,Medicago sativa,Pteridium aquilinum,N_all,N_Host,Area_Host,N_Plant,Area_Plant,N_Parasitoid,Area_Parasitoid,N_passive,N_active,Area_merged,N_active_parasitism,N_passive_parasitism,Area_parasitism,Area_only_parasitism,N_active_herbivory,N_passive_herbivory,Area_herbivory,Area_only_herbivory
0,15,3,8,4,19,10,14,16,5,18,7,11,17,12,20,21,0,1,2,13,9,6,95.0,47,0.47195357833655704,22,0.5227272727272727,26,0.3461538461538462,73.0,22,0.42714819427148193,0,41,0.21951219512195125,0.0,22,47,0.47195357833655704,0.47195357833655704
1,3,17,6,12,9,1,0,11,10,20,19,18,21,5,2,15,16,13,7,14,4,8,95.0,47,0.402321083172147,22,0.5227272727272727,26,0.5244755244755245,73.0,22,0.44582814445828156,0,41,0.33259423503325936,0.0,22,47,0.402321083172147,0.402321083172147
2,18,0,8,16,4,12,10,13,20,1,19,5,9,14,2,6,7,21,3,11,15,17,95.0,47,0.5483558994197292,22,0.5227272727272727,26,0.5174825174825175,73.0,22,0.5373599003735989,0,41,0.3281596452328159,0.0,22,47,0.5483558994197292,0.5483558994197292
3,0,19,4,5,8,6,11,18,20,16,15,9,21,10,3,12,1,14,7,2,17,13,95.0,47,0.41489361702127664,22,0.5227272727272727,26,0.46328671328671334,73.0,22,0.43212951432129515,0,41,0.29379157427937913,0.0,22,47,0.41489361702127664,0.41489361702127664
4,21,10,15,12,14,20,7,18,17,9,19,3,16,5,13,2,1,11,6,0,4,8,95.0,47,0.4951644100580271,22,0.5227272727272727,26,0.4230769230769231,73.0,22,0.46948941469489414,0,41,0.2682926829268293,0.0,22,47,0.4951644100580271,0.4951644100580271
5,21,13,3,4,18,12,15,2,11,16,0,17,5,19,9,7,8,6,1,14,10,20,95.0,47,0.5251450676982591,22,0.5227272727272727,26,0.3776223776223776,73.0,22,0.4726027397260274,0,41,0.23946784922394682,0.0,22,47,0.5251450676982591,0.5251450676982591
6,5,2,20,18,3,4,14,7,19,21,8,11,13,1,0,10,6,16,12,15,17,9,95.0,47,0.34719535783365574,22,0.5227272727272727,26,0.4877622377622378,73.0,22,0.3972602739726027,0,41,0.3093126385809312,0.0,22,47,0.34719535783365574,0.34719535783365574
7,1,19,15,14,11,4,0,17,2,16,12,5,8,20,3,13,6,21,18,7,10,9,95.0,47,0.3965183752417795,22,0.5227272727272727,26,0.5664335664335663,73.0,22,0.4570361145703612,0,41,0.35920177383592017,0.0,22,47,0.3965183752417795,0.3965183752417795
8,5,15,10,19,18,12,4,8,20,6,2,17,14,11,9,0,16,21,13,1,7,3,95.0,47,0.5531914893617021,22,0.5227272727272727,26,0.5437062937062938,73.0,22,0.5498132004981319,0,41,0.34478935698447893,0.0,22,47,0.5531914893617021,0.5531914893617021
9,0,4,13,14,5,7,12,19,3,9,17,1,16,21,10,6,20,8,2,15,18,11,95.0,47,0.5715667311411992,22,0.5227272727272727,26,0.6276223776223775,73.0,22,0.5915317559153174,0,41,0.3980044345898004,0.0,22,47,0.5715667311411992,0.5715667311411992
