sign,int,name,name_set_a,name_set_b,linking_set,name_layer_A,name_layer_B,Na,Nb,Nls,N_lsA,N_lsB,N_A,N_B,K_A,K_B,C_A,C_B,HD,LS_HD,nonLS_HD,P_HD,nonP_HD,lsA_HD,lsB_HD,r_k,rb_k,cLSsim,CinLHubs_10,CinLHubs_20,CinLHubs_5,new_cLS_PR,PRofCinLhubs,Area_merged,EA_a,EA_b,EA_lA,EA_lB,r_EA
MA,H-P,Sinohara_1_ALL_PH,Pollinator,Herbivore,Plant,pollination,herbivory,23.0,26.0,49.0,26.0,23.0,49.0,49.0,2.979591836734697,1.7142857142857144,0.12207357859531774,0.07023411371237456,1.045394846333423,0.8666999565279518,1.2193552998187014,0.8666999565279561,1.2193552998187014,0.7673287396110878,1.0131581237063856,-0.1162156333462611,-0.1336167500333003,0.16666666666666646,0.4217171717171717,0.380050505050505,0.3838383838383838,0.6689333556407658,0.45959869497154116,0.3874569922254581,0.33438232919255695,0.4344076556776609,0.3394074080267614,0.4425003177257505,-0.12722214877429938
MA,H-P,Sinohara_2_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,39.0,28.0,49.0,24.0,25.0,63.0,53.0,2.1587301587301577,3.056603773584906,0.07264957264957246,0.11571428571428594,0.9528855337533852,0.8142638767377581,1.0170555268845085,0.8142638767377645,1.0170555268845085,0.6302155634275768,0.9313967323256198,-0.1386829420427187,-0.12713333578492836,0.19512195121951234,0.48484848484848486,0.46085858585858586,0.5202020202020202,0.6523125019545299,0.5734990376237711,0.3926153658536553,0.42441598499062216,0.3483216463414662,0.43151331196581216,0.3537632000000004,-0.13781765949059097
MA,H-P,Sinohara_3_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,43.0,33.0,53.0,29.0,24.0,72.0,57.0,2.111111111111114,2.807017543859647,0.06094627105052114,0.101010101010101,1.0638387190317582,0.9033904545978407,1.13320570113207,0.903390454597846,1.13320570113207,1.0013593847030187,0.8043360751198051,-0.1982539074765054,-0.1900122173380289,0.2045454545454544,0.5631313131313131,0.4027777777777778,0.5656565656565656,0.6164307184188663,0.460051320892238,0.4119872697368384,0.4290719133191185,0.3897254614325054,0.43402246190858046,0.39706136363636346,-0.1392006939382511
MA,H-P,Sinohara_4_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,49.0,22.0,43.0,26.0,17.0,75.0,39.0,1.7066666666666677,2.4102564102564092,0.05023547880690736,0.1256684491978608,1.0650030461421547,0.9995174697346332,0.83561515833982,0.9995174697346373,0.83561515833982,1.0545659652198125,1.0351998602037504,-0.3501818108215722,-0.33213702803956313,0.22857142857142804,0.40067340067340057,0.46031746031746046,0.4444444444444444,0.6608205506797405,0.5015003802415968,0.4493574849094257,0.47143367930030045,0.40018777922078436,0.47593915227629424,0.4118525401069113,-0.07701036623994079
MA,H-P,Sinohara_ALL_A_PH,Herbivore,Pollinator,Plant,herbivory,pollination,51.0,23.0,44.0,29.0,15.0,80.0,38.0,2.0,2.0526315789473695,0.05409060175794442,0.11304347826086965,1.1288127239661931,1.1065441098114681,0.768995466507748,1.1065441098114728,0.768995466507748,1.3306944682597655,0.6629935441317953,-0.26722950658635475,-0.10547624639395446,0.22222222222222177,0.5117845117845119,0.47619047619047616,0.29292929292929293,0.6659263663068012,0.5220824343681172,0.44407643768769833,0.44866427559913297,0.43390340579710296,0.4514722379986394,0.45027281159419524,-0.13226992422993827
MA,H-P,Sinohara_ALL_E_PH,Herbivore,Pollinator,Plant,herbivory,pollination,45.0,35.0,73.0,37.0,36.0,82.0,71.0,2.1707317073170684,3.577464788732397,0.0534534534534534,0.10079365079365078,1.0918254549895785,0.9521389203085209,1.2211491403748778,0.9521389203085266,1.2211491403748778,1.057457324932017,0.9103358565433174,-0.13672575292815242,-0.14611476584678865,0.19672131147540975,0.3771043771043773,0.37373737373737376,0.46464646464646486,0.6201203408080617,0.4108006262341017,0.3712543995901676,0.4072092531876114,0.3250267306791603,0.41151465465504844,0.3285891507934856,-0.12108651755664813
MA,H-P,Sinohara_ALL_I_PH,Herbivore,Pollinator,Plant,herbivory,pollination,43.0,27.0,46.0,24.0,22.0,67.0,49.0,1.7014925373134335,3.346938775510203,0.05523255813953477,0.13804713804713828,1.0751553704949501,0.9039729735174048,1.126054084267692,0.9039729735174102,1.126054084267692,0.6779328272198716,0.9483114665265192,-0.1277633635387386,-0.11074777150446122,0.2105263157894736,0.552188552188552,0.468975468975469,0.4444444444444444,0.6376063182066707,0.5535032271478744,0.420465157894835,0.4662498347613169,0.3475488206628243,0.4731874515503768,0.35403609427609745,-0.13900496855550254
MA,H-P,Sinohara_2_E_PH,Pollinator,Herbivore,Plant,pollination,herbivory,20.0,18.0,33.0,20.0,13.0,40.0,31.0,2.650000000000003,1.5483870967741948,0.13250000000000017,0.10256410256410234,0.8789342236980353,0.8208593847339132,0.9142161098620813,0.8208593847339177,0.9142161098620813,0.8594203636033008,0.761106042156682,-0.16550380575095125,-0.1540177838541909,0.17857142857142855,0.41919191919191917,0.27878787878787864,0.5252525252525253,0.6910969277635945,0.3675863838742625,0.40675286654135123,0.350152446428569,0.46964222222222585,0.3550736250000032,0.4882770085470603,-0.15490008232918834
MA,H-P,Sinohara_3_E_PH,Pollinator,Herbivore,Plant,pollination,herbivory,24.0,18.0,36.0,18.0,18.0,42.0,36.0,2.52380952380952,2.1666666666666643,0.1226851851851851,0.12037037037037025,0.9896176797588964,0.990063707675789,0.9363411506145911,0.990063707675794,0.9363411506145911,0.9280663462310901,1.133301256004078,-0.30203394252125426,-0.3042501683037884,0.19999999999999962,0.47138047138047146,0.40235690235690236,0.5353535353535354,0.652814578304774,0.4542760123285967,0.3960961111111397,0.4112741944444459,0.37585866666665513,0.4201612268518498,0.3837084259259313,-0.11296769737555352
MA,H-P,Sinohara_4_I_PH,Herbivore,Pollinator,Plant,herbivory,pollination,19.0,11.0,22.0,11.0,11.0,30.0,22.0,1.3333333333333317,2.0,0.09569377990430612,0.18181818181818185,0.7660547095387406,0.6410800847681798,0.7642615437455998,0.6410800847681848,0.7642615437455998,0.5399073994677228,0.6708203932499384,-0.1408961797009005,-0.06041848330727037,0.29411764705882326,0.7070707070707071,0.5589225589225587,,0.7434231200897865,0.5881526909304686,0.48267654901955886,0.5200245201238188,0.41816641711234515,0.535797320574145,0.43074586776866497,-0.21121787578571816
