sign,int,name,name_set_a,name_set_b,linking_set,name_layer_A,name_layer_B,Na,Nb,Nls,N_lsA,N_lsB,N_A,N_B,K_A,K_B,C_A,C_B,HD,LS_HD,nonLS_HD,P_HD,nonP_HD,lsA_HD,lsB_HD,r_k,rb_k,cLSsim,CinLHubs_10,CinLHubs_20,CinLHubs_5,new_cLS_PR,PRofCinLhubs,Area_merged,EA_a,EA_b,EA_lA,EA_lB,r_EA
MA,H-P,Sinohara_1_ALL_PH,Pollinator,Herbivore,Plant,pollination,herbivory,3.5707937633970306e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,7.141587526794061e-15,7.141587526794061e-15,3.1244445429724018e-15,2.231746102123144e-16,4.184523941480895e-17,6.974206569134825e-17,0.030512095531590556,0.06743127155300901,1.3390476612738865e-15,0.06743127155300851,1.3390476612738865e-15,6.695238306369432e-16,1.5622222714862009e-15,0.01842336108833993,0.02163306987666599,1.394841313826965e-16,0.25913529837787164,0.1427669267806637,0.3559141924526167,0.11233699840547469,0.14768769466795345,0.05213920768253211,0.06743722941026335,0.08657656172721565,0.059008484689123314,0.07715981423496507,0.12743813948242708
MA,H-P,Sinohara_2_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,0.0,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,7.141587526794061e-15,7.141587526794061e-15,8.926984408492576e-16,0.0,1.394841313826965e-16,2.371230233505841e-16,0.03727690190986208,0.06659473338882524,1.5622222714862009e-15,0.06659473338882531,1.5622222714862009e-15,1.2274603561677293e-15,6.695238306369432e-16,0.028493856058616793,0.0283398128591228,1.394841313826965e-16,0.2443707606192689,0.14795207512121517,0.32669645087800586,0.07589223222712253,0.12071683663170038,0.04707903882568957,0.05817875850113195,0.09100248627342636,0.04499761484215225,0.08482018570512703,0.13510336022868052
MA,H-P,Sinohara_3_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,0.0,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,0.0,7.141587526794061e-15,2.678095322547773e-15,1.7853968816985153e-15,6.276785912221343e-17,0.0,0.04136676366493085,0.07198164731580133,0.0,0.07198164731580096,0.0,8.926984408492576e-16,1.5622222714862009e-15,0.026101682962235428,0.028459179087363604,1.115873051061572e-16,0.2123226581228198,0.15827066428938488,0.3546086132687857,0.08306240862243901,0.1534542972113337,0.04615271966775025,0.06578020780439059,0.07669590833531693,0.05851591488096365,0.0668951138194482,0.10949158273479341
MA,H-P,Sinohara_4_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,0.0,0.0,0.0,8.926984408492576e-16,8.926984408492576e-16,6.276785912221343e-17,1.115873051061572e-16,0.05512257437429541,0.07758792113971383,0.0,0.07758792113971422,0.0,2.4549207123354585e-15,1.3390476612738865e-15,0.02467263497356267,0.04290404528348796,4.742460467011682e-16,0.2856341077175577,0.15482730172436796,0.4994327848429298,0.08765559129223255,0.128302619147101,0.0609768865205523,0.07663716162230406,0.11308583606457172,0.07140371375557775,0.10294206311282321,0.14994421632112764
MA,H-P,Sinohara_ALL_A_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,1.7853968816985153e-15,0.0,0.0,0.0,8.926984408492576e-16,8.36904788296179e-17,1.5343254452096616e-16,0.0524955131539664,0.07077306842229406,2.0085714919108297e-15,0.07077306842229439,2.0085714919108297e-15,1.3390476612738865e-15,5.57936525530786e-16,0.026589753369527274,0.023251511710836212,4.463492204246288e-16,0.24886650663561444,0.1513509895325645,0.4574223532308069,0.09106985090828393,0.14903540285860192,0.058106744717860655,0.08173396888031996,0.07778890319529874,0.07858270434223048,0.0543201083688465,0.12285081619792641
MA,H-P,Sinohara_ALL_E_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.909841424670917e-15,2.678095322547773e-15,0.0,1.394841313826965e-17,0.028515443187210526,0.05648400640728753,2.231746102123144e-15,0.05648400640728672,2.231746102123144e-15,6.695238306369432e-16,1.0042857459554149e-15,0.017689622707304745,0.016694612329307308,5.57936525530786e-17,0.1957395687901894,0.10869486793116921,0.2966868517866741,0.08007332679066387,0.09573354801904889,0.04202669761096651,0.061285308604714664,0.06595012477953029,0.05439124288405721,0.059904497686041516,0.09932839417369103
MA,H-P,Sinohara_ALL_I_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,0.0,7.141587526794061e-15,6.695238306369432e-16,8.926984408492576e-16,3.487103284567413e-17,2.78968262765393e-16,0.04089864272018864,0.06855243548474864,2.0085714919108297e-15,0.06855243548474851,2.0085714919108297e-15,7.811111357431004e-16,7.811111357431004e-16,0.03410067522314484,0.03575672011478753,0.0,0.24356393956562208,0.14436580065353338,0.4994327848429298,0.0899720298879448,0.14295577010631866,0.04733702683368702,0.052794985134002305,0.10263453512465921,0.03906448551622239,0.09618042210692698,0.1343394729702694
MA,H-P,Sinohara_2_E_PH,Pollinator,Herbivore,Plant,pollination,herbivory,0.0,0.0,0.0,0.0,1.7853968816985153e-15,0.0,3.5707937633970306e-15,3.1244445429724018e-15,1.3390476612738865e-15,1.673809576592358e-16,1.673809576592358e-16,0.035036771145182284,0.06361251488326691,1.3390476612738865e-15,0.06361251488326679,1.3390476612738865e-15,7.811111357431004e-16,1.2274603561677293e-15,0.04752367661474738,0.04421570393690847,5.57936525530786e-17,0.3621581477968801,0.19339751136609126,0.5019032011607365,0.10489268957518504,0.22912972409147747,0.05768597595556132,0.08583878103473964,0.09299924213642569,0.0794694378096091,0.07302124173627153,0.14928301059608334
MA,H-P,Sinohara_3_E_PH,Pollinator,Herbivore,Plant,pollination,herbivory,3.5707937633970306e-15,0.0,0.0,0.0,0.0,7.141587526794061e-15,0.0,4.0171429838216594e-15,2.231746102123144e-15,0.0,4.184523941480895e-17,0.054871019815158364,0.09124787118357303,1.115873051061572e-15,0.09124787118357323,1.115873051061572e-15,1.8969841868046727e-15,2.0085714919108297e-15,0.027428808107468682,0.03661217739100599,3.905555678715502e-16,0.23333382414963458,0.15973706607370453,0.5012867384496988,0.10211988334750989,0.1538260632904251,0.06750747275262156,0.10429201104910785,0.09257774756629923,0.09663969431675161,0.08267658815530686,0.14531729352282313
MA,H-P,Sinohara_4_I_PH,Herbivore,Pollinator,Plant,herbivory,pollination,0.0,1.7853968816985153e-15,3.5707937633970306e-15,1.7853968816985153e-15,1.7853968816985153e-15,3.5707937633970306e-15,3.5707937633970306e-15,1.5622222714862009e-15,0.0,8.36904788296179e-17,5.57936525530786e-17,0.05332645990557367,0.09464266362310503,2.231746102123144e-16,0.09464266362310511,2.231746102123144e-16,6.695238306369432e-16,1.4506349663800437e-15,0.0556507225860994,0.07786474646558443,2.231746102123144e-16,0.4574223532308069,0.25120247242075683,,0.0809206768637356,0.22578284004125748,0.04930460464842404,0.07030085756626815,0.09065666396289636,0.047002532540689985,0.07542952295430548,0.22117183831801787
MA,H-P,Melian_OO_OO_PH,Pollinator,Herbivore,Plant,pollination,herbivory,2.8566350107176245e-14,1.7853968816985153e-15,0.0,3.5707937633970306e-15,0.0,2.8566350107176245e-14,0.0,9.373333628917206e-15,4.0171429838216594e-15,1.394841313826965e-16,2.78968262765393e-16,0.013906450330678144,0.023628279623868816,8.926984408492576e-16,0.023628279623868428,8.926984408492576e-16,1.3390476612738865e-15,4.463492204246288e-16,0.015538322454831057,0.01531238892257868,2.78968262765393e-16,0.1011557160588121,0.03952066542393234,0.14739387595677472,0.061986877847896624,0.04794841510948132,0.09145063444630581,0.09851802577301833,0.0748252681440185,0.08804688834320472,0.07471981819211147,0.04391472244528089
MA,H-P,Hackett_1_ALL_PH,Pollinator,Herbivore,Plant,pollination,herbivory,2.8566350107176245e-14,7.141587526794061e-15,0.0,7.141587526794061e-15,3.5707937633970306e-15,0.0,0.0,1.7853968816985153e-15,1.3390476612738865e-15,8.36904788296179e-17,1.325099248135617e-16,0.02583191917223234,0.02474752619843962,1.5622222714862009e-15,0.024747526198439437,1.5622222714862009e-15,3.5707937633970306e-15,1.3390476612738865e-15,0.010806106425686478,0.0034507268539246904,5.57936525530786e-17,0.19232865432905624,0.1213245107784192,0.30440319799079196,0.09614660746930473,0.14471151825891473,0.06189605055292063,0.0781974633544475,0.07300965157354691,0.0756850581722551,0.05607873635917779,0.1079126782703173
MA,H-P,Hackett_2_ALL_PH,Pollinator,Herbivore,Plant,pollination,herbivory,7.141587526794061e-15,3.5707937633970306e-15,0.0,3.5707937633970306e-15,0.0,0.0,7.141587526794061e-15,5.356190645095546e-15,2.231746102123144e-16,1.115873051061572e-16,5.57936525530786e-17,0.03812513220565186,0.05396775921178362,1.3390476612738865e-15,0.05396775921178313,1.3390476612738865e-15,1.2274603561677293e-15,1.8969841868046727e-15,0.02299714650749561,0.022289223211651017,2.78968262765393e-16,0.2690336781857758,0.16878337035049895,0.49110832210880595,0.08399160801371709,0.18079791701804604,0.04854053555285228,0.07180671016176621,0.06943605610990702,0.06115310316356942,0.05404425046109724,0.14112766560286455
MA,H-P,Hackett_1_S_PH,Pollinator,Herbivore,Plant,pollination,herbivory,0.0,0.0,0.0,1.7853968816985153e-15,8.926984408492576e-16,1.4283175053588122e-14,3.5707937633970306e-15,1.3390476612738865e-15,1.5622222714862009e-15,2.78968262765393e-16,3.347619153184716e-16,0.05322256776080802,0.05699571381065562,7.811111357431004e-16,0.056995713810656004,7.811111357431004e-16,1.0042857459554149e-15,1.0042857459554149e-15,0.028444775966671474,0.0048943597614123716,0.0,0.4619069933449023,0.34195709182430833,,0.11384016672795795,0.14403777270850043,0.06384980745708417,0.0784722239230563,0.11735415031898322,0.07172960516637687,0.08894720861155725,0.23346408690555176
MA,H-P,Hackett_1_GL_PH,Pollinator,Herbivore,Plant,pollination,herbivory,1.4283175053588122e-14,0.0,3.5707937633970306e-15,0.0,1.7853968816985153e-15,1.4283175053588122e-14,3.5707937633970306e-15,6.2488890859448035e-15,6.695238306369432e-16,6.974206569134825e-17,2.78968262765393e-17,0.02509457744776122,0.02708165828923124,5.57936525530786e-16,0.0270816582892316,5.57936525530786e-16,8.926984408492576e-16,7.811111357431004e-16,0.017875489201691595,0.004742019989306705,3.905555678715502e-16,0.35351694742556417,0.22692975564503226,0.49674263633520177,0.10350311459001388,0.09129126594322026,0.06680263812655148,0.08208695103477572,0.08235253849376074,0.07810426710418684,0.05075037249706084,0.16039303474207026
MA,H-P,Pocock_OO_OO_PH,Pollinator,Herbivore,Plant,pollination,herbivory,2.8566350107176245e-14,7.141587526794061e-15,0.0,7.141587526794061e-15,0.0,0.0,0.0,8.926984408492576e-15,1.2497778171889607e-14,6.974206569134825e-17,1.394841313826965e-16,0.027202522018595635,0.03911013331500189,3.1244445429724018e-15,0.0391101333150019,3.1244445429724018e-15,6.695238306369432e-16,1.2274603561677293e-15,0.028078996416924726,0.012342853897389167,1.0042857459554149e-15,0.1131537657726715,0.08485375858607151,0.2010075630518424,0.03549574698768193,0.06173149689891965,0.06307954268845402,0.07825883910102194,0.06342816293817702,0.07462019254064091,0.06259413946311736,0.13943681199477684
MA,H-SD,Melian_OO_OO_HSD,Herbivore,Seed disperser,Plant,herbivory,dispersion,1.7853968816985153e-15,3.5707937633970306e-15,2.8566350107176245e-14,0.0,7.141587526794061e-15,0.0,0.0,4.0171429838216594e-15,4.909841424670917e-15,2.78968262765393e-16,5.57936525530786e-17,0.006943713470941968,0.034136279996861404,1.115873051061572e-15,0.03413627999686154,1.115873051061572e-15,4.463492204246288e-16,2.0085714919108297e-15,0.005447156876422263,0.007225991833908283,1.394841313826965e-16,0.11109822642258732,0.06360786303718016,0.16525959851101113,0.05201865316587263,0.05621274576946784,0.05967509070758402,0.07524972167338634,0.082551240890651,0.07496272580978065,0.07811551766931259,0.04078378737358835
AA,H-Pa,McFayden_ALL_A_HPa,Plant,Parasitoid,Host,herbivory,parasitism,1.4283175053588122e-14,0.0,5.713270021435249e-14,0.0,1.4283175053588122e-14,5.713270021435249e-14,0.0,0.0,5.356190645095546e-15,3.1383929561106714e-17,4.184523941480895e-17,0.0090654677893628,0.024320685820953293,2.4549207123354585e-15,0.0,0.018874921461088223,7.811111357431004e-16,6.695238306369432e-16,0.011232063554652064,0.01585024595681557,2.231746102123144e-16,0.04811821579830198,0.03896103896103897,0.0541174208216499,0.018455868986810068,0.02754888920465173,0.05154949005450935,0.05251505461226455,0.057647406078575214,0.05251505461226455,0.0,0.05048864759929776
AA,H-Pa,McFayden_1_A_HPa,Plant,Parasitoid,Host,herbivory,parasitism,3.5707937633970306e-15,7.141587526794061e-15,1.4283175053588122e-14,0.0,3.5707937633970306e-15,1.4283175053588122e-14,0.0,0.0,1.3390476612738865e-15,8.36904788296179e-17,2.78968262765393e-17,0.011049650004065183,0.027611455640406395,2.231746102123144e-15,1.7853968816985153e-15,0.022236318064964428,8.36904788296179e-16,1.7853968816985153e-15,0.02756247286059385,0.03474930069447938,3.347619153184716e-16,0.0,0.06540411004693009,0.0,0.029787796618007838,0.03781881032175868,0.08837796042019101,0.0865882055038653,0.1056939146777101,0.0865882055038653,0.0,0.08426865631969024
AA,H-Pa,McFayden_2_A_HPa,Plant,Parasitoid,Host,herbivory,parasitism,3.5707937633970306e-15,7.141587526794061e-15,1.4283175053588122e-14,7.141587526794061e-15,3.5707937633970306e-15,1.4283175053588122e-14,0.0,1.115873051061572e-15,3.347619153184716e-15,1.0461309853702238e-16,6.276785912221343e-17,0.021984557358277524,0.04611654495143534,2.0085714919108297e-15,8.926984408492576e-16,0.04086740757883954,8.926984408492576e-16,4.463492204246288e-16,0.03810004694552186,0.039977289067169644,0.0,0.1014677326635972,0.08602969598682059,0.0,0.03855933169253406,0.05886624868254611,0.08816212854861334,0.08265421465901596,0.1126601229338727,0.08265421465901596,0.0,0.13650989995791324
