sign,int,name,name_set_a,name_set_b,linking_set,name_layer_A,name_layer_B,Na,Nb,Nls,N_lsA,N_lsB,N_A,N_B,K_A,K_B,C_A,C_B,HD,LS_HD,nonLS_HD,P_HD,nonP_HD,lsA_HD,lsB_HD,r_k,rb_k,cLSsim,CinLHubs_10,CinLHubs_20,CinLHubs_5,new_cLS_PR,PRofCinLhubs,Area_merged,EA_a,EA_b,EA_lA,EA_lB,r_EA
MA,H-P,Sinohara_1_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,3.5707937633970306e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,7.141587526794061e-15,7.141587526794061e-15,2.231746102123144e-16,3.1244445429724018e-15,6.974206569134825e-17,4.184523941480895e-17,0.014251297583799935,0.04653158256549575,1.3390476612738865e-15,0.04653158256549676,1.3390476612738865e-15,0.06386377786763746,0.05341150245228562,0.01849187908397905,0.038240595853428094,1.394841313826965e-16,0.2004298616919238,0.1381227581176946,0.24312861492888416,0.08111690593371819,0.1060272132627024,0.028165750159168463,0.04877464357759238,0.05072792741085767,0.03583345121720922,0.03116191736282056,0.10996816588103306
MA,H-P,Sinohara_2_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,0.0,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,7.141587526794061e-15,7.141587526794061e-15,8.926984408492576e-16,0.0,1.394841313826965e-16,2.371230233505841e-16,0.023811466785399152,0.057774161920455855,1.5622222714862009e-15,0.05777416192045519,1.5622222714862009e-15,0.06668962961888487,0.060116814971926655,0.030922336951121284,0.038029311992483064,1.394841313826965e-16,0.15296155622558236,0.1154906939613397,0.12881970576940693,0.07071538176992768,0.07403375374265066,0.027995268095293794,0.04874006410100994,0.046694956382451316,0.03137150693714071,0.03184332060322899,0.10644103129147017
MA,H-P,Sinohara_3_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,0.0,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,0.0,7.141587526794061e-15,2.678095322547773e-15,1.7853968816985153e-15,6.276785912221343e-17,0.0,0.01996551995973301,0.049213260447263894,0.0,0.04921326044726437,0.0,0.06063731013223928,0.05745418416906052,0.02674288094552439,0.03548506494617338,1.115873051061572e-16,0.1440695307294402,0.1310875925330074,0.15793451382644752,0.06683184594617396,0.07968289175711918,0.025460223033087807,0.041981446362421446,0.04985300923295464,0.028895137036977173,0.03199771846457221,0.11691243704561528
MA,H-P,Sinohara_4_ALL_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,0.0,0.0,0.0,8.926984408492576e-16,8.926984408492576e-16,6.276785912221343e-17,1.115873051061572e-16,0.02770967305516874,0.05409167568608734,0.0,0.05409167568608767,0.0,0.05639968937316612,0.06992196810032027,0.05367957382747558,0.06854842345415126,4.742460467011682e-16,0.17055520135171576,0.1345307383323436,0.1414067789702256,0.06293343599663503,0.08432909381121699,0.028379407844220564,0.04122071832568292,0.0620021238310237,0.029443148911318693,0.037755931020026126,0.1342930013980529
MA,H-P,Sinohara_ALL_A_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,1.7853968816985153e-15,0.0,0.0,0.0,8.926984408492576e-16,8.36904788296179e-17,1.5343254452096616e-16,0.03424846978643837,0.06345553710737328,2.0085714919108297e-15,0.06345553710737302,2.0085714919108297e-15,0.0597102082034507,0.08069546311181156,0.05193449878978027,0.03786800208367842,4.463492204246288e-16,0.19726943349495343,0.13576035009632934,0.28894279819853236,0.06135547576448953,0.07433637376345348,0.02768349906747702,0.036742338000081504,0.06856803658187026,0.02824628777326648,0.039079776564397144,0.13512319865081351
MA,H-P,Sinohara_ALL_E_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.909841424670917e-15,2.678095322547773e-15,0.0,1.394841313826965e-17,0.016944249308870122,0.05111073544905776,2.231746102123144e-15,0.05111073544905746,2.231746102123144e-15,0.052678720097851905,0.04650348659234425,0.017156077564653312,0.028227267848906307,5.57936525530786e-17,0.1442532391299176,0.11199018364248459,0.17048804041138724,0.059475456146482204,0.07294217227890204,0.022546866000460672,0.038463493108437885,0.039288226675723764,0.025405672439664403,0.027762631612411482,0.08518482762993258
MA,H-P,Sinohara_ALL_I_PH,Herbivore,Pollinator,Plant,herbivory,pollination,7.141587526794061e-15,3.5707937633970306e-15,7.141587526794061e-15,3.5707937633970306e-15,3.5707937633970306e-15,0.0,7.141587526794061e-15,6.695238306369432e-16,8.926984408492576e-16,3.487103284567413e-17,2.78968262765393e-16,0.023919368488291706,0.055796208033141746,2.0085714919108297e-15,0.05579620803314251,2.0085714919108297e-15,0.07433345974819598,0.06363274765485928,0.03415822118812236,0.04591582069941819,0.0,0.17175960769254264,0.13824762879524885,0.14140677897022544,0.06768205426939303,0.09019825851343986,0.028627746409919625,0.04697995007414737,0.05008812235587231,0.03037063545864028,0.03348573678760334,0.10996733422851612
MA,H-P,Sinohara_2_E_PH,Pollinator,Herbivore,Plant,pollination,herbivory,0.0,0.0,0.0,0.0,1.7853968816985153e-15,0.0,3.5707937633970306e-15,3.1244445429724018e-15,1.3390476612738865e-15,1.673809576592358e-16,1.673809576592358e-16,0.02979485250843218,0.07220794069546506,1.3390476612738865e-15,0.07220794069546498,1.3390476612738865e-15,0.05880462895609847,0.09455237816008097,0.049946234594478486,0.05728426172861475,5.57936525530786e-17,0.2858044590748121,0.16640052962825833,0.36037498507822385,0.08912572426021904,0.10752336295596578,0.034327041671447206,0.0503689734258589,0.0718237649624147,0.03769249129092928,0.040962990446343946,0.12446595372267134
MA,H-P,Sinohara_3_E_PH,Pollinator,Herbivore,Plant,pollination,herbivory,3.5707937633970306e-15,0.0,0.0,0.0,0.0,7.141587526794061e-15,0.0,4.0171429838216594e-15,2.231746102123144e-15,0.0,4.184523941480895e-17,0.026784284780088565,0.06524691733139248,1.115873051061572e-15,0.06524691733139172,1.115873051061572e-15,0.06595343219196513,0.07675201170501338,0.04913783232652208,0.05929619735744897,3.905555678715502e-16,0.1939320929018086,0.12977188844745696,0.32803456987831403,0.07063603739775326,0.09041337948480115,0.03188741794918268,0.05512691854653547,0.057284848210029306,0.036210620573026604,0.038347026001200754,0.1332595046913158
MA,H-P,Sinohara_4_I_PH,Herbivore,Pollinator,Plant,herbivory,pollination,0.0,1.7853968816985153e-15,3.5707937633970306e-15,1.7853968816985153e-15,1.7853968816985153e-15,3.5707937633970306e-15,3.5707937633970306e-15,1.5622222714862009e-15,0.0,8.36904788296179e-17,5.57936525530786e-17,0.041048130820537904,0.08160277933927322,2.231746102123144e-16,0.08160277933927411,2.231746102123144e-16,0.11168114741491564,0.08495000868416726,0.08373328655302378,0.1311026639157293,2.231746102123144e-16,0.2576394115388139,0.20327378531532853,,0.08205677747169172,0.13709529967340411,0.042582743170517,0.06923618048923695,0.06880325454345708,0.044987480387516994,0.04620969338551601,0.16843982143485486
