,name,type,sign,linking_set,set_name,rb,r
0,Sinohara_1_ALL_PH,H-P,MA,Plant,pollination,1.2742523422511627,1.2742523422511762
1,Sinohara_1_ALL_PH,H-P,MA,Plant,herbivory,-0.9861523987265265,-0.986152398726528
2,Sinohara_2_ALL_PH,H-P,MA,Plant,pollination,0.023803661885507373,0.023803661885501915
3,Sinohara_2_ALL_PH,H-P,MA,Plant,herbivory,-0.0009825790439073846,-0.0009825790439069119
4,Sinohara_3_ALL_PH,H-P,MA,Plant,pollination,-0.959561803074397,-0.9595618030743547
5,Sinohara_3_ALL_PH,H-P,MA,Plant,herbivory,0.46527249590469727,0.4652724959046927
6,Sinohara_4_ALL_PH,H-P,MA,Plant,pollination,-1.9430126454879844,-1.9430126454879504
7,Sinohara_4_ALL_PH,H-P,MA,Plant,herbivory,-1.7556955394545328,-1.7556955394543963
8,Sinohara_ALL_A_PH,H-P,MA,Plant,pollination,0.6301337040827081,0.6301337040827065
9,Sinohara_ALL_A_PH,H-P,MA,Plant,herbivory,-0.027816193852142315,-0.027816193852140642
10,Sinohara_ALL_E_PH,H-P,MA,Plant,pollination,-0.6012874324413479,-0.601287432441302
11,Sinohara_ALL_E_PH,H-P,MA,Plant,herbivory,1.1410432076819237,1.1410432076819272
12,Sinohara_ALL_I_PH,H-P,MA,Plant,pollination,-0.9558451852796129,-0.9558451852795531
13,Sinohara_ALL_I_PH,H-P,MA,Plant,herbivory,0.622757040206955,0.6227570402069549
14,Sinohara_2_E_PH,H-P,MA,Plant,pollination,-0.8158559820783756,-0.8158559820783732
15,Sinohara_2_E_PH,H-P,MA,Plant,herbivory,-0.3621284037704418,-0.3621284037704408
16,Sinohara_3_E_PH,H-P,MA,Plant,pollination,-1.4042754205619297,-1.4042754205619081
17,Sinohara_3_E_PH,H-P,MA,Plant,herbivory,0.7849581849092607,0.7849581849092587
18,Sinohara_4_I_PH,H-P,MA,Plant,pollination,-0.0609132138138675,-0.06091321381386694
19,Sinohara_4_I_PH,H-P,MA,Plant,herbivory,0.3747233223043966,0.3747233223043653
20,Melian_OO_OO_PH,H-P,MA,Plant,pollination,-1.7117766451467284,-1.711776645137633
21,Melian_OO_OO_PH,H-P,MA,Plant,herbivory,2.4364433166274972,2.4364433166251183
22,Hackett_1_ALL_PH,H-P,MA,Plant,pollination,-0.46247418182808564,-0.4624741818302836
23,Hackett_1_ALL_PH,H-P,MA,Plant,herbivory,2.178940019620651,2.178940019621151
24,Hackett_2_ALL_PH,H-P,MA,Plant,pollination,-0.5124099810618787,-0.5124099810618779
25,Hackett_2_ALL_PH,H-P,MA,Plant,herbivory,3.117786508128155,3.1177865081281735
26,Hackett_1_S_PH,H-P,MA,Plant,pollination,0.7221258835240165,0.7221258835244282
27,Hackett_1_S_PH,H-P,MA,Plant,herbivory,1.7730142253056422,1.7730142253058514
28,Hackett_1_GL_PH,H-P,MA,Plant,pollination,-0.9462181104454975,-0.9462181104445542
29,Hackett_1_GL_PH,H-P,MA,Plant,herbivory,,-1.3170890159654384e-08
30,Pocock_OO_OO_PH,H-P,MA,Plant,pollination,-1.857842906806162,-1.8578429068152313
31,Pocock_OO_OO_PH,H-P,MA,Plant,herbivory,3.284335622079043,3.284335622066363
32,Melian_OO_OO_HSD,H-SD,MA,Plant,herbivory,2.306497105483219,2.3064971054621677
33,Melian_OO_OO_HSD,H-SD,MA,Plant,dispersion,-5.997732542664766,-5.997732542665165
34,McFayden_ALL_A_HPa,H-Pa,AA,Host,parasitism,3.017657549147795,3.0176575491477786
35,McFayden_ALL_A_HPa,H-Pa,AA,Host,herbivory,-0.24787449622464894,-0.24787449622534524
36,McFayden_1_A_HPa,H-Pa,AA,Host,parasitism,2.9165978422646623,2.916597842264757
37,McFayden_1_A_HPa,H-Pa,AA,Host,herbivory,0.053445731781611175,0.05344573178161202
38,McFayden_2_A_HPa,H-Pa,AA,Host,parasitism,2.411993608519283,2.41199360851905
39,McFayden_2_A_HPa,H-Pa,AA,Host,herbivory,-1.4174466386354194,-1.417446638635593
40,McFayden_3_A_HPa,H-Pa,AA,Host,parasitism,1.6761630374724803,1.676163037472508
41,McFayden_3_A_HPa,H-Pa,AA,Host,herbivory,-0.34070896093537734,-0.3407089609354172
42,McFayden_4_A_HPa,H-Pa,AA,Host,parasitism,2.90129665182427,2.901296651824309
43,McFayden_4_A_HPa,H-Pa,AA,Host,herbivory,-2.269588871261975,-2.2695888712621564
44,McFayden_5_A_HPa,H-Pa,AA,Host,parasitism,1.98643503892608,1.9864350389260508
45,McFayden_5_A_HPa,H-Pa,AA,Host,herbivory,-2.008975662252377,-2.008975662252291
46,McFayden_6_A_HPa,H-Pa,AA,Host,parasitism,1.4305234878736517,1.430523487873652
47,McFayden_6_A_HPa,H-Pa,AA,Host,herbivory,-0.4703910214224448,-0.47039102142244993
48,McFayden_7_A_HPa,H-Pa,AA,Host,parasitism,1.3295877276275403,1.329587727627564
49,McFayden_7_A_HPa,H-Pa,AA,Host,herbivory,0.13813124546488817,0.13813124546483063
50,McFayden_8_A_HPa,H-Pa,AA,Host,parasitism,4.225691388153432,4.22569138815317
51,McFayden_8_A_HPa,H-Pa,AA,Host,herbivory,0.27821613524223787,0.2782161352422311
52,McFayden_9_A_HPa,H-Pa,AA,Host,parasitism,1.591621365046372,1.5916213650463746
