,name,type,sign,linking_set,set_name,rb,r
0,Sinohara_1_ALL_PH,H-P,MA,Plant,pollination,-0.4092412592222561,-0.22022633176925174
1,Sinohara_1_ALL_PH,H-P,MA,Plant,herbivory,-0.2907787831752286,-0.2504725897920606
2,Sinohara_2_ALL_PH,H-P,MA,Plant,pollination,-0.28534992452553376,-0.2767628383647101
3,Sinohara_2_ALL_PH,H-P,MA,Plant,herbivory,-0.027629686316102076,-0.18775258579354803
4,Sinohara_3_ALL_PH,H-P,MA,Plant,pollination,-0.3084776815112445,-0.26644786005942467
5,Sinohara_3_ALL_PH,H-P,MA,Plant,herbivory,-0.11267262909816007,-0.17424892703862646
6,Sinohara_4_ALL_PH,H-P,MA,Plant,pollination,-0.5025230016095062,-0.4507081462922369
7,Sinohara_4_ALL_PH,H-P,MA,Plant,herbivory,-0.16565226511756012,-0.324257425742574
8,Sinohara_ALL_A_PH,H-P,MA,Plant,pollination,-0.08211688460829497,-0.09868648461804294
9,Sinohara_ALL_A_PH,H-P,MA,Plant,herbivory,-0.18776654111766314,-0.26184632427295973
10,Sinohara_ALL_E_PH,H-P,MA,Plant,pollination,-0.3453537830594601,-0.2647869716004918
11,Sinohara_ALL_E_PH,H-P,MA,Plant,herbivory,-0.005204356193294558,-0.07317687711467834
12,Sinohara_ALL_I_PH,H-P,MA,Plant,pollination,-0.3631423195708585,-0.357990362764312
13,Sinohara_ALL_I_PH,H-P,MA,Plant,herbivory,0.03921774195121771,-0.1866325785244699
14,Sinohara_2_E_PH,H-P,MA,Plant,pollination,-0.31885130554699154,-0.3052758318739057
15,Sinohara_2_E_PH,H-P,MA,Plant,herbivory,-0.15481590968547396,-0.21951219512195122
16,Sinohara_3_E_PH,H-P,MA,Plant,pollination,-0.42743445970665106,-0.3943783733264803
17,Sinohara_3_E_PH,H-P,MA,Plant,herbivory,-0.11199760041212074,-0.1656432640378788
18,Sinohara_4_I_PH,H-P,MA,Plant,pollination,-0.22831482556870428,-0.22857142857142837
19,Sinohara_4_I_PH,H-P,MA,Plant,herbivory,0.012317267516843384,-0.3541666666666662
20,Melian_OO_OO_PH,H-P,MA,Plant,pollination,-0.07477762968337194,-0.3685507315108117
21,Melian_OO_OO_PH,H-P,MA,Plant,herbivory,-0.024860172105750086,-0.6514748418190787
22,Hackett_1_ALL_PH,H-P,MA,Plant,pollination,-0.08419217528715633,-0.41144420319142044
23,Hackett_1_ALL_PH,H-P,MA,Plant,herbivory,0.057415017995865486,-0.34623500331584983
24,Hackett_2_ALL_PH,H-P,MA,Plant,pollination,-0.12448094020278376,-0.4062056035964734
25,Hackett_2_ALL_PH,H-P,MA,Plant,herbivory,0.6570947225789883,0.05675798395640998
26,Hackett_1_S_PH,H-P,MA,Plant,pollination,-0.012932290328605378,-0.5864568922645689
27,Hackett_1_S_PH,H-P,MA,Plant,herbivory,0.039553408968402516,-0.459333125584294
28,Hackett_1_GL_PH,H-P,MA,Plant,pollination,-0.05773834891990667,-0.4994178290444382
29,Hackett_1_GL_PH,H-P,MA,Plant,herbivory,0.0,-0.39024390243902507
30,Pocock_OO_OO_PH,H-P,MA,Plant,pollination,-0.09776879595374319,-0.5077125233166184
31,Pocock_OO_OO_PH,H-P,MA,Plant,herbivory,-0.2813157927623562,-0.5673398552706509
